code,name,row,col
8,Faryab,1,3
13,Jowzjan,1,4
4,Balkh,1,5
19,Kunduz,1,6
32,Takhar,1,7
1,Badakhshan,1,8
2,Badghis,2,3
30,Samangan,2,5
31,Sar-e Pol,2,4
3,Baghlan,2,6
24,Nuristan,2,8
28,Panjshir,2,7
12,Herat,3,1
10,Ghor,3,2
5,Bamyan,3,4
29,Parwan,3,6
16,Kapisa,3,7
20,Laghman,3,8
18,Kunar,3,9
6,Daykundi,3,3
7,Farah,4,2
33,Maidan Wardak,3,5
9,Ghazni,4,4
14,Kabul,4,6
21,Logar,4,7
22,Nangarhar,4,8
17,Khost,5,8
26,Paktia,5,7
25,Urozgan,5,4
34,Zabul,5,5
27,Paktika,6,7
15,Kandahar,6,5
11,Helmand,6,4
23,Nimruz,6,3
