name,code,row,col
Escobar,26,1,3
Pilar,26,1,2
Jose C Paz,4,2,2
Malvinas Argentinas,1,2,3
Tigre,2,2,4
San Fernando,3,2,5
San Miguel,6,3,4
San Isidro,5,3,5
Moreno,8,4,2
Ituzaingo,11,4,3
Hurlingham,10,4,4
General San Martin,9,4,5
Vicente Lopez,7,4,6
General Rodriguez,28,4,1
Merlo,13,5,3
Moron,14,5,4
Tres de Febrero,15,5,5
Caba,12,5,6
Marcos Paz,29,5,2
La Matanza,18,6,5
Lanus,17,6,6
Avellaneda,16,6,7
Ezeiza,21,7,4
Esteban Echeverria,20,7,5
Lomas de Zamora,22,7,6
Quilmes,19,7,7
San Vicente,32,9,5
Canuelas,30,8,4
Almirante Brown,24,8,6
Florencio Varela,25,8,7
Berazategui,23,8,8
Presidente Peron,31,8,5
