name,code,row,col
General Güemes,General Güemes,2,2
Almirante Brown,Almirante Brown,2,1
Libertador General San Martín,Libertador General San Martín,2,4
Nueve de Julio,Nueve de Julio,3,2
Sargento Cabral,Sargento Cabral,3,5
Quitilipi,Quitilipi,3,4
Maipú,Maipú,3,3
General Belgrano,General Belgrano,4,3
Independencia,Independencia,4,4
Bermejo,Bermejo,4,7
Chacabuco,Chacabuco,4,2
General Donovan,General Donovan,4,6
Veinticinco de Mayo,Veinticinco de Mayo,4,5
O'Higgins,O'Higgins,5,3
Primero de Mayo,Primero de Mayo,5,7
Doce de Octubre,Doce de Octubre,5,2
Libertad,Libertad,5,6
Comandante Fernández,Comandante Fernández,5,4
Presidencia de la Plaza,Presidencia de la Plaza,5,5
Mayor Luis Jorge Fontana,Mayor Luis Jorge Fontana,6,3
San Fernando,San Fernando,6,6
Fray Justo Santa María de Oro,Fray Justo Santa María de Oro,6,2
San Lorenzo,San Lorenzo,6,4
Tapenagá,Tapenagá,6,5
