name,code,row,col
Sobremonte,SOBREMONTE,1,3
Río Seco,RIO SECO,1,4
Ischilín,ISCHILIN,2,2
Cruz Del Eje,CRUZ DEL EJE,2,1
Totoral,TOTORAL,2,3
Tulumba,TULUMBA,2,4
San Justo,S.JUSTO,3,5
Minas,MINAS,3,1
Punilla,PUNILLA,3,2
Colón,COLON,3,3
Río Primero,RIO PRIMERO,3,4
Pocho,POCHO,4,1
San Alberto,S.ALBERTO,4,2
Capital,CAPITAL,4,3
Río Segundo,RIO SEGUNDO,4,4
General San Martín,GRAL.S.MARTIN,5,4
Santa María,S.MARIA,5,3
San Javier,S.JAVIER,5,1
Calamuchita,CALAMUCHITA,5,2
Union,UNION,5,5
Marcos Juárez,M.JUAREZ,5,6
Río Cuarto,RIO CUARTO,6,2
Tercero Arriba,3RO ARRIBA,6,3
Juárez Celman,J.CELMAN,7,3
Gral. Roca,GRAL.ROCA,7,2
Presidente Roque Sáenz Peña,R.S.PENA,8,3
