"name","code","row","col"
"Arauco","Arauco",1,6
"Castro Barros","Castro Barros",1,5
"Famatina","Famatina",1,3
"General Lamadrid","General Lamadrid",1,1
"San Blas de los Sauces","San Blas de los Sauces",1,4
"Vinchina","Vinchina",1,2
"Capital","Capital",2,6
"Chilecito","Chilecito",2,4
"Coronel Felipe Varela","Coronel Felipe Varela",2,3
"Sanagasta","Sanagasta",2,5
"Chamical","Chamical",3,6
"General angel V. Peñaloza*","General angel V. Peñaloza*",3,5
"Independencia","Independencia",3,4
"General Belgrano","General Belgrano",4,6
"General Juan F. Quiroga","General Juan F. Quiroga",4,5
"General Ocampo","General Ocampo",5,6
"Rosario Vera Peñaloza","Rosario Vera Peñaloza",5,5
"General San Martin","General San Martin",6,6
