"name","code","row","col"
"Las Heras","Las Heras",1,3
"Lavalle","Lavalle",1,4
"Guaymallén","Guaymallén",2,4
"Godoy Cruz","Godoy Cruz",2,3
"Lujan de Cuyo","Lujan de Cuyo",2,1
"Capital","Capital",2,2
"Maipu","Maipu",3,3
"San Martin","San Martin",3,5
"Tupungato","Tupungato",3,2
"Junin","Junin",3,4
"Tunuyan","Tunuyan",4,2
"La Paz","La Paz",4,5
"Santa Rosa","Santa Rosa",4,4
"Rivadavia","Rivadavia",4,3
"San Carlos","San Carlos",5,2
"General Alvear","General Alvear",5,4
"San Rafael","San Rafael",5,3
"Malargue","Malargue",6,1
