name,code,row,col
Santa Victoria,Santa Victoria,1,5
Iruya,Iruya,2,6
General José de San Martín,General José de San Martín,2,7
Orán,Orán,3,6
La Poma,La Poma,3,2
General Guemes,General Guemes,3,5
Rivadavia,Rivadavia,3,7
La Caldera,La Caldera,3,4
Rosario de Lerma,Rosario de Lerma,4,3
Los Andes,Los Andes,4,2
Capital,Capital,4,5
Anta,Anta,4,6
Cerrillos,Cerrillos,4,4
Cachi,Cachi,5,3
Metán,Metán,5,5
Chicoana,Chicoana,5,4
Molinos,Molinos,6,2
San Carlos,San Carlos,6,3
Rosario de la Frontera,Rosario de la Frontera,6,6
La Viña,La Viña,6,4
Guachipas,Guachipas,6,5
La Candelaria,La Candelaria,7,5
Cafayate,Cafayate,7,4
