"name","code","row","col"
"Iglesia","Iglesia",2,2
"Jáchal","Jáchal",2,3
"Valle Fértil","Valle Fértil",2,4
"Ullum","Ullum",3,3
"Albardón","Albardón",3,4
"Angaco","Angaco",3,5
"Zonda","Zonda",4,3
"San Martín","San Martín",4,4
"Caucete","Caucete",4,5
"Rivadavia","Rivadavia",5,3
"Chimbas","Chimbas",5,4
"San Lucía","San Lucía",5,5
"Pocito","Pocito",6,3
"Capital","Capital",6,4
"9 de Julio","9 de Julio",6,5
"Calingasta","Calingasta",6,2
"Rawson","Rawson",7,4
"25 de Mayo","25 de Mayo",7,5
"Sarmiento","Sarmiento",8,4
