"name","code","row","col"
"General Obligado","General Obligado",2,3
"Nueve de Julio","Nueve de Julio",2,1
"Vera","Vera",2,2
"San Javier","San Javier",3,3
"San Cristobal","San Cristobal",3,1
"San Justo","San Justo",3,2
"Garay","Garay",4,3
"Castellanos","Castellanos",4,1
"Las Colonias","Las Colonias",4,2
"La Capital","La Capital",5,3
"San Jeronimo","San Jeronimo",5,2
"San Martin","San Martin",5,1
"San Lorenzo","San Lorenzo",5,4
"Belgrano","Belgrano",6,1
"Iriondo","Iriondo",6,2
"Rosario","Rosario",6,3
"Caseros","Caseros",7,1
"Constitucion","Constitucion",7,2
"General Lopez","General Lopez",8,1
