name,code,row,col
Copo,Copo,1,4
Pellegrini,Pellegrini,1,3
Alberdi,Alberdi,2,4
Jiménez,Jiménez,2,3
Banda,Banda,3,3
Figueroa,Figueroa,3,4
Moreno,Moreno,3,5
Río Hondo,Río Hondo,3,2
Capital,Capital,4,2
Juan F. Ibarra,Juan F. Ibarra,4,5
Robles,Robles,4,3
Sarmiento,Sarmiento,4,4
Guasayán,Guasayán,4,1
Avellaneda,Avellaneda,5,4
Belgrano,General Taboada,5,5
San Martín,San Martín,5,3
Silípica,Silípica,5,2
Choya,Choya,5,1
Atamisqui,Atamisqui,6,3
Belgrano,Belgrano,6,5
Loreto,Loreto,6,2
Salavina,Salavina,6,4
Aguirre,Aguirre,7,5
Ojo de Agua,Ojo de Agua,7,2
Quebrachos,Quebrachos,7,3
Mitre,Mitre,7,4
Rivadavia,Rivadavia,8,5
