row,col,code,name
1,3,BG01,Panchagar
2,2,BG02,Takurgaong
2,3,BG03,Nilphamar
2,4,BG04,Lamonirhat
3,3,BG05,Dinajpur
3,4,BG06,Rangpur
3,5,BG07,Kurigram
4,3,BG08,Jaipurat
4,4,BG09,Gaibandha
5,2,BG10,Naogaon
5,3,BG11,Bogra
5,4,BG12,Jamalpur
5,5,BG13,Sherpar
5,6,BG14,Mymensingh
5,7,BG15,Netrokona
5,8,BG16,Suramganj
5,9,BG17,Sylhet
6,1,BG18,Chapai
6,2,BG19,Rajshani
6,3,BG20,Nator
6,4,BG21,Sirajganj
6,5,BG22,Tangail
6,6,BG23,Gazipur
6,7,BG24,Kishoreganj
6,8,BG25,Habiganj
6,9,BG26,Moulvibazar
7,2,BG27,Kushtia
7,3,BG28,Pabna
7,4,BG29,Dhaka
7,5,BG30,Nardiaganj
7,6,BG31,Narsingdi
7,7,BG32,Brahmanbaria
8,1,BG33,Meherpur
8,2,BG34,Jhenaidah
8,3,BG35,Magura
8,4,BG36,Rajbari
8,5,BG37,Manikganj
8,6,BG38,Munshiganj
8,7,BG39,Comilla
9,9,BG40,Khagrachhari
9,10,BG41,Rangramati
9,1,BG42,Chuadanga
9,2,BG43,Jessore
9,3,BG44,Gopalganj
9,4,BG45,Faridpur
9,5,BG46,Madanipur
9,6,BG47,Shariyapur
9,7,BG48,Chandpur
9,8,BG49,Feni
10,9,BG50,Chittagong
10,10,BG51,Badanbari
10,2,BG52,Narail
10,3,BG53,Pirojpur
10,4,BG54,Barisal
10,5,BG55,Jhalkati
10,6,BG56,Laksimipur
10,7,BG57,Noakhali
11,2,BG58,Satkhira
11,3,BG59,Khulna
11,4,BG60,Bagerhat
11,5,BG61,Borguna
11,6,BG62,Patuakhali
11,7,BG63,Bhola
11,9,BG64,Cox's Bazar
