row,col,code,name
1,1,AK,Alaska
1,2,YT,Yukon
1,3,NT,Northwest Territories
1,4,NU,Nunavut
1,11,NL,Newfoundland and Labrador
1,10,PE,Prince Edward Island
2,10,NB,New Brunswick
2,11,NS,Nova Scotia
2,1,BC,British Columbia
2,2,AB,Alberta
2,3,SK,Saskatchewan
2,4,MB,Manitoba
2,7,ON,Ontario
2,8,QC,Quebec
2,9,ME,Maine
3,9,VT,Vermont
3,7,MI,Michigan
3,10,NH,New Hampshire
3,5,WI,Wisconsin
3,11,MA,Massachusetts
3,6,IL,Illinois
3,4,MN,Minnesota
3,2,MT,Montana
3,8,NY,New York
3,3,ND,North Dakota
3,1,WA,Washington
4,2,ID,Idaho
4,10,CT,Connecticut
4,6,IN,Indiana
4,5,IA,Iowa
4,9,NJ,New Jersey
4,7,OH,Ohio
4,1,OR,Oregon
4,8,PA,Pennsylvania
4,11,RI,Rhode Island
4,4,SD,South Dakota
4,3,WY,Wyoming
5,2,NV,Nevada
5,1,CA,California
5,4,CO,Colorado
5,11,DE,Delaware
5,7,KY,Kentucky
5,10,MD,Maryland
5,6,MO,Missouri
5,5,NE,Nebraska
5,3,UT,Utah
5,9,VA,Virginia
5,8,WV,West Virginia
6,2,AZ,Arizona
6,5,AR,Arkansas
6,4,KS,Kansas
6,3,NM,New Mexico
6,7,NC,North Carolina
6,8,SC,South Carolina
6,6,TN,Tennessee
6,9,DC,District of Columbia
7,7,AL,Alabama
7,8,GA,Georgia
7,5,LA,Louisiana
7,6,MS,Mississippi
8,11,PR,Puerto Rico
7,4,OK,Oklahoma
8,9,FL,Florida
8,1,HI,Hawaii
8,4,TX,Texas
