"row","col","code","name"
1,10,"NL","Newfoundland and Labrador"
1,5,"NT","Nunavut"
1,1,"AK","Alaska"
1,2,"YK","Yukon"
1,3,"NWT","Northwest Territories"
1,9,"NS","Nova Scotia"
2,2,"BC","British Columbia"
2,3,"AB","Alberta"
2,4,"SK","Saskatchewan"
2,5,"MB","Manitoba"
2,6,"ON","Ontario"
2,7,"QC","Quebec"
2,8,"NB","New Brunswick"
2,9,"PEI","Prince Edward Island"
2,10,"VT","Vermont"
2,11,"NH","New Hampshire"
2,12,"ME","Maine"
3,7,"WI","Wisconsin"
3,11,"MA","Massachusetts"
3,10,"NY","New York"
3,9,"MI","Michigan"
3,8,"IL","Illinois"
3,6,"MN","Minnesota"
3,5,"ND","North Dakota"
3,4,"MT","Montana"
3,3,"ID","Idaho"
3,2,"WA","Washington"
4,11,"RI","Rhode Island"
4,10,"CT","Connecticut"
4,9,"NJ","New Jersey"
4,8,"PA","Pennsylvania"
4,7,"OH","Ohio"
4,6,"IN","Indiana"
4,5,"IA","Iowa"
4,4,"SD","South Dakota"
4,3,"WY","Wyoming"
4,2,"NV","Nevada"
4,1,"OR","Oregon"
5,3,"CO","Colorado"
5,4,"NE","Nebraska"
5,5,"MO","Missouri"
5,6,"KY","Kentucky"
5,7,"WV","West Virginia"
5,8,"VA","Virginia"
5,9,"MD","Maryland"
5,10,"DE","Delaware"
5,2,"UT","Utah"
5,1,"CA","California"
6,9,"DC","District of Columbia"
6,8,"SC","South Carolina"
6,7,"NC","North Carolina"
6,6,"TN","Tennessee"
6,5,"AR","Arkansas"
6,4,"KS","Kansas"
6,3,"NM","New Mexico"
7,3,"AZ","Arizona"
7,8,"GA","Georgia"
7,7,"AL","Alabama"
7,6,"MS","Mississippi"
7,5,"LA","Louisiana"
7,4,"OK","Oklahoma"
8,8,"FL","Florida"
8,4,"TX","Texas"
8,1,"HI","Hawaii"
