name,code,row,col
Urumqi,UMQ,1,1
Harbin,HrB,1,16
Mudanjiang,MDJ,1,15
Jilin,JL,2,16
Changchun,CC,2,15
Shenyang,SY,2,14
Dalian,DL,2,13
Tianjin,TJ,2,11
Beijing,BJ,2,10
Hohhot,HHT,2,7
Yantai,YT,3,13
Qingdao,QD,3,12
Jining,JiN,3,11
Jinan,JN,3,10
Shijiazhuang,SJZ,3,9
Taiyuan,TY,3,7
Yinchuan,YC,3,5
Lanzhou,LZ,3,3
Xining,XN,3,2
Wuxi,WX,4,13
Xuzhou,XZ,4,11
Zhengzhou,ZZ,4,8
Luoyang,LY,4,7
Xi'an,XA,4,6
Nanjing,NJ,5,11
Hefei,HF,5,10
Shanghai,SH,5,13
Yangzhou,YZ,5,12
Hangzhou,HZ,6,11
Wenzhou,WZ,6,12
Ningbo,NB,6,13
Jiujiang,JJ,6,9
Wuhan,WH,6,8
Fuzhou,FZ,7,12
Quanzhou,QZ,7,11
Changsha,CS,7,8
Nanchang,NC,7,9
Chongqing,CQ,7,5
Chengdu,CD,7,4
Ganzhou,GAZ,8,9
Xiamen,XM,8,11
Kunming,KM,8,3
Guiyang,GY,8,5
Shenzhen,SZ,9,9
Nanning,NN,9,6
Guangzhou,GZ,9,8
Haikou,HK,9,7
Sanya,Sya,10,7
