"code","name","row","col"
"HL","Heilongjiang",1,10
"NM","Innermogolia",2,7
"JL","Jilin",2,10
"XJ","Xinjiang",2,1
"BJ","Beijing",3,8
"LN","Liaoning",3,9
"NX","Ningxia",3,5
"TJ","Tianjin",4,8
"HE","Hebei",4,7
"QH","Qinghai",4,2
"HA","Henan",5,7
"SX","Shanxi",5,6
"SD","Shandong",5,8
"GS","Gansu",5,4
"HB","Hubei",6,6
"AH","Anhui",6,7
"SH","Shanghai",6,9
"SN","Shaanxi",6,5
"JS","Jiangsu",6,8
"HN","Hunan",7,6
"CQ","Chongqing",7,5
"ZJ","Zhejiang",7,8
"XZ","Xizang",7,2
"TW","Taiwan",8,10
"SC","Sichuan",7,4
"JX","Jiangxi",8,7
"GZ","Guizhou",8,5
"FJ","Fujian",8,8
"YN","Yunnan",9,4
"GX","Guangxi",9,6
"GD","Guangdong",9,7
"MC","Macau",10,9
"HK","Hongkong",10,10
"HI","Hainan",11,7
