"row","col","code","name"
1,2,"La Elvira","La Elvira"
1,3,"La Paz","La Paz"
2,2,"El Saladito","El Saladito"
2,3,"La Castilla","La Castilla"
2,4,"Montebello","Montebello"
2,5,"Golondrinas","Golondrinas"
2,6,"2","2"
2,7,"6","6"
3,1,"Felidia","Felidia"
3,3,"1","1"
3,5,"3","3"
3,6,"4","4"
3,7,"5","5"
4,1,"La Leonera","La Leonera"
4,4,"19","19"
4,5,"9","9"
4,6,"8","8"
4,7,"7","7"
5,1,"Pichindé","Pichindé"
5,3,"20","20"
5,5,"10","10"
5,6,"11","11"
5,7,"12","12"
5,8,"13","13"
5,9,"14","14"
6,2,"Los Andes","Los Andes"
6,4,"18","18"
6,5,"17","17"
6,6,"16","16"
6,7,"15","15"
6,10,"21","21"
7,3,"Villacarmelo","Villacarmelo"
7,4,"La Buitrera","La Buitrera"
7,5,"22","22"
7,8,"Navarro","Navarro"
8,4,"Pance","Pance"
8,6,"El Hormiguero","El Hormiguero"
