"row","col","name","code"
8,3,"Lip","539449"
7,3,"Zbr","539864"
7,4,"P12","547107"
7,5,"Lib","547051"
7,9,"Klv","538361"
7,10,"Ned","538531"
6,2,"P16","539601"
6,3,"Loc","539465"
6,4,"Vel","547115"
6,5,"Kun","547042"
6,6,"Šeb","539724"
6,7,"Úje","539791"
6,8,"Kře","538400"
6,9,"Ben","538078"
6,10,"Krá","538388"
5,2,"Řep","539635"
5,3,"Sli","539678"
5,4,"P4","500119"
5,5,"P11","547034"
5,6,"Pet","547395"
5,7,"P15","547387"
5,8,"DMě","547379"
5,9,"P22","538931"
5,10,"Kld","538353"
4,1,"Zli","539899"
4,2,"P13","539694"
4,3,"P5","500143"
4,4,"P2","500089"
4,5,"P3","500097"
4,6,"P10","500224"
4,7,"Ště","547409"
4,8,"Dub","538205"
4,9,"Běc","538060"
4,10,"Klá","538302"
4,11,"P21","538949"
3,2,"P17","547174"
3,3,"P6","500178"
3,4,"P1","500054"
3,5,"P7","500186"
3,6,"P9","500216"
3,7,"P14","547361"
3,8,"DPo","538175"
3,9,"Sat","538736"
3,10,"P20","538213"
2,1,"PřK","539589"
2,2,"Neb","547158"
2,3,"Lys","547140"
2,4,"Tro","547328"
2,5,"P8","500208"
2,6,"Ďáb","547298"
2,7,"P18","547417"
2,8,"P19","547344"
2,9,"Vin","539007"
1,4,"Suc","547271"
1,6,"DCh","547301"
1,7,"Bře","538124"
1,8,"Čak","547310"
