"name","row","col","code"
"Aran",1,3,"01"
"Cerdanya",2,6,"02"
"Alta Ribagorça",2,3,"03"
"Pallars Sobirà",2,4,"04"
"Ripollès",2,7,"05"
"Alt Empordà",2,9,"06"
"Pla de l'Estany",3,8,"07"
"Garrotxa",3,7,"08"
"Berguedà",3,6,"09"
"Alt Urgell",3,4,"10"
"Pallars Jussà",3,3,"11"
"Solsonès",3,5,"12"
"Gironès",3,9,"13"
"Osona",4,7,"14"
"Noguera",4,3,"15"
"Bages",4,5,"16"
"Segarra",4,4,"17"
"Moianès",4,6,"18"
"Selva",4,8,"19"
"Baix Empordà",3,10,"20"
"Vallès Occidental",5,6,"21"
"Anoia",5,5,"22"
"Segrià",5,2,"23"
"Pla d'Urgell",5,3,"24"
"Urgell",5,4,"25"
"Vallès Oriental",5,7,"26"
"Maresme",5,8,"27"
"Alt Camp",6,5,"28"
"Conca de Barberà",6,4,"29"
"Garrigues",6,3,"30"
"Priorat",6,2,"31"
"Alt Penedès",6,6,"32"
"Barcelonès",7,6,"33"
"Garraf",7,4,"34"
"Ribera d'Ebre",7,2,"35"
"Baix Penedès",7,3,"36"
"Terra Alta",7,1,"37"
"Baix Llobregat",7,5,"38"
"Baix Ebre",8,2,"39"
"Baix Camp",8,3,"40"
"Tarragonès",8,4,"41"
"Montsià",9,2,"42"
