"name","code","row","col"
"Finland","FIN",1,9
"Iceland","ISL",1,1
"Sweden","SWE",1,7
"Norway","NOR",1,6
"Estonia","EST",2,10
"Latvia","LVA",3,10
"Lithuania","LTU",3,9
"Ireland","IRL",3,1
"UK","GBR",3,2
"Belarus","BLR",3,8
"Denmark","DNK",3,6
"Netherlands","NLD",3,5
"Poland","POL",3,7
"Russia","RUS",3,11
"Ukraine","UKR",4,9
"Czechia","CZE",4,7
"Belgium","BEL",4,4
"Luxembourg","LUX",4,5
"Germany","DEU",4,6
"Slovakia","SVK",4,8
"Moldova","MDA",5,10
"Romania","ROU",5,9
"Hungary","HUN",5,8
"Austria","AUT",5,7
"Switzerland","CHE",5,6
"France","FRA",5,5
"Bulgaria","BGR",6,11
"Croatia","HRV",6,9
"Serbia","SRB",6,10
"Slovenia","SVN",6,8
"Italy","ITA",6,6
"Portugal","PRT",6,3
"Spain","ESP",6,4
"Kosovo","XKX",7,10
"Bosnia & H.","BIH",7,8
"Montenegro","MNE",7,9
"N. Macedonia","MKD",7,11
"Malta","MLT",8,6
"Albania","ALB",8,10
"Greece","GRC",8,11
"Turkey","TUR",8,12
"Cyprus","CYP",9,12
