name,code,row,col
Suutarila,SUU,1,6
Ultuna,ULT,1,9
Tuomarinkylä,TUO,2,3
Tapaninkylä,TAP,2,6
Suurmetsä,SUUR,2,7
Östersundom,ÖST,2,9
Kaarela,KAA,3,2
Pakila,PAK,3,3
Pukinmäki,PUK,3,5
Malmi,MAL,3,6
Salmenkallio/Talosaari/Karhusaari,STK,3,9
Mellunkylä,MEL,4,8
Konala,KON,4,1
Oulunkylä,OUL,4,3
Koskela,KOS,5,4
Haaga,HAA,5,2
Pitäjänmäki,PIT,5,1
Viikki,VII,5,6
Käpylä,KÄP,6,3
Vartiokylä,VAR,6,8
Vuosaari,VUO,6,9
Ruskeasuo,RUS,7,2
Munkkiniemi,MUN,7,1
Pasila,PAS,7,3
Kumpula,KUM,7,4
Toukola,TOU,7,5
Herttoniemi,HERT,7,7
Hermanni,HERM,8,5
Meilahti,MEI,8,2
Vallila,VAL,8,4
Tammisalo,TAM,8,7
Laakso,LAA,8,3
Sörnäinen,SÖR,9,5
Taka-Töölö,TTÖÖ,9,3
Kallio,KAL,9,4
Kulosaari,KUL,9,6
Kluuvi,KLU,10,4
Laajasalo,LAAJ,10,7
Kruunuhaka,KRU,10,5
Etu-Töölö,ETÖÖ,10,3
Mustikkamaa-Korkeasaari,MK,10,6
Kamppi,KAM,11,3
Katajanokka,KAT,11,5
Kaartinkaupunki,KAART,11,4
Lauttasaari,LAU,12,1
Kaivopuisto,KAI,12,5
Punavuori,PUN,12,3
Ullanlinna,ULL,12,4
Länsisatama,LÄN,13,2
Eira,EIRA,13,3
Suomenlinna,SUO,14,5
Santahamina,SAN,14,7
