"code","name","row","col"
"FHB"," S02001343",2,8
"FCA"," S02001342",3,8
"FL"," S02001341",3,7
"Mac"," S02001327",4,4
"Ban"," S02001326",4,3
"FS"," S02001340",4,7
"PFC"," S02001324",5,2
"RS"," S02001339",5,7
"GKE"," S02001328",5,4
"AW"," S02001325",5,3
"PU"," S02001337",5,8
"PH"," S02001336",5,9
"NP"," S02001329",6,5
"LR"," S02001338",6,7
"DM"," S02001330",6,6
"Turr"," S02001323",6,4
"PB"," S02001335",6,9
"PL"," S02001334",6,8
"AM"," S02001322",7,4
"Hun"," S02001321",7,3
"Min"," S02001331",7,7
"Auc"," S02001332",7,6
"FR"," S02001318",7,5
"Cru"," S02001333",7,8
"Clas"," S02001320",8,3
"IOY"," S02001319",8,4
"Barr"," S02001317",8,5
"Yths"," S02001316",8,6
"Ytha"," S02001315",8,7
"EW"," S02001314",8,8
"EE"," S02001313",8,9
"IS"," S02001304",9,6
"IN"," S02001303",9,5
"DCoG"," S02001305",9,4
"BP"," S02001312",9,7
"NF"," S02001311",10,6
"Kin"," S02001306",10,5
"HoA"," S02001301",10,3
"Kem"," S02001302",10,4
"Bla"," S02001307",11,5
"WC"," S02001309",11,6
"WNS"," S02001308",12,5
"GE"," S02001310",12,6
"CT"," S02001299",13,4
"Por"," S02001294",13,7
"BDF"," S02001295",13,6
"DDD"," S02001296",13,5
"CK"," S02001300",13,3
"BE"," S02001297",14,4
"BW"," S02001298",14,3
"New"," S02001293",14,7
"FNC"," S02001290",14,5
"SN"," S02001292",14,6
"EC"," S02001285",15,3
"ASD"," S02001286",15,4
"MNI"," S02001289",15,5
"SS"," S02001291",15,6
"ML"," S02001287",16,5
"MSB"," S02001288",17,5
