"row","col","code","name"
3,4,"S13002976","Anderston/City/Yorkhill"
2,7,"S13002986","Baillieston"
3,5,"S13002975","Calton"
1,4,"S13002982","Canal"
4,2,"S13002970","Cardonald"
2,5,"S13002988","Dennistoun"
1,1,"S13002980","Drumchapel/Anniesland"
2,6,"S13002984","East Centre"
2,1,"S13002979","Garscadden/Scotstounhill"
3,3,"S13002971","Govan"
5,2,"S13002969","Greater Pollok"
2,4,"S13002977","Hillhead"
5,4,"S13002973","Langside"
6,4,"S13002967","Linn"
1,3,"S13002981","Maryhill"
5,3,"S13002968","Newlands/Auldburn"
1,7,"S13003133","North East"
2,3,"S13002989","Partick East/Kelvindale"
4,3,"S13002972","Pollokshields"
3,6,"S13002985","Shettleston"
4,4,"S13002974","Southside Central"
1,5,"S13002983","Springburn/Robroyston"
2,2,"S13002978","Victoria Park"
