"name","row","col","code"
"Donegal",1,1,"Donegal"
"Sligo",2,1,"Sligo"
"Mayo",3,1,"Mayo"
"Galway",4,1,"Galway"
"Clare",5,1,"Clare"
"Limerick",6,1,"Limerick"
"Kerry",7,1,"Kerry"
"Leitrim",2,2,"Leitrim"
"Roscommon",3,2,"Roscommon"
"Westmeath",4,2,"Westmeath"
"Offaly",5,2,"Offaly"
"Tipperary",6,2,"Tipperary"
"Cork",7,2,"Cork"
"Monaghan",1,3,"Monaghan"
"Cavan",2,3,"Cavan"
"Longford",3,3,"Longford"
"Kildare",4,3,"Kildare"
"Laois",5,3,"Laois"
"Kilkenny",6,3,"Kilkenny"
"Waterford",7,3,"Waterford"
"Louth",2,4,"Louth"
"Meath",3,4,"Meath"
"Dublin",4,4,"Dublin"
"Wicklow",5,4,"Wicklow"
"Carlow",6,4,"Carlow"
"Wexford",7,4,"Wexford"
