code,county,row,col
18089,Lake,1,1
18127,Porter,1,2
18091,LaPorte,1,3
18141,St. Joseph,1,4
18039,Elkhart,1,5
18087,LaGrange,1,6
18151,Steuben,1,7
18033,DeKalb,2,7
18113,Noble,2,6
18099,Marshall,2,4
18085,Kosciusko,2,5
18149,Starke,2,3
18073,Jasper,2,2
18111,Newton,2,1
18003,Allen,3,7
18183,Whitley,3,6
18049,Fulton,3,4
18131,Pulaski,3,3
18007,Benton,3,1
18181,White,3,2
18169,Wabash,3,5
18001,Adams,4,7
18103,Miami,4,4
18179,Wells,4,6
18171,Warren,4,1
18157,Tippecanoe,4,2
18069,Huntington,4,5
18015,Carroll,4,3
18017,Cass,5,3
18075,Jay,5,7
18067,Howard,5,4
18009,Blackford,5,6
18053,Grant,5,5
18045,Fountain,5,1
18107,Montgomery,5,2
18023,Clinton,6,3
18159,Tipton,6,4
18035,Delaware,6,6
18135,Randolph,6,7
18165,Vermillion,6,1
18095,Madison,6,5
18121,Parke,6,2
18011,Boone,7,3
18057,Hamilton,7,4
18177,Wayne,7,7
18065,Henry,7,6
18167,Vigo,7,1
18133,Putnam,7,2
18059,Hancock,7,5
18097,Marion,8,4
18139,Rush,8,6
18063,Hendricks,8,3
18161,Union,8,7
18119,Owen,8,2
18153,Sullivan,8,1
18145,Shelby,8,5
18041,Fayette,9,6
18081,Johnson,9,4
18109,Morgan,9,3
18047,Franklin,9,7
18055,Greene,9,2
18027,Daviess,9,1
18005,Bartholomew,9,5
18021,Clay,10,3
18013,Brown,10,4
18029,Dearborn,10,7
18031,Decatur,10,6
18101,Martin,10,2
18125,Pike,10,1
18083,Knox,10,5
18105,Monroe,11,3
18137,Ripley,11,6
18115,Ohio,11,7
18093,Lawrence,11,4
18037,Dubois,11,2
18173,Warrick,11,1
18079,Jennings,11,5
18077,Jefferson,12,6
18155,Switzerland,12,7
18071,Jackson,12,4
18117,Orange,12,3
18147,Spencer,12,2
18051,Gibson,12,1
18019,Clark,12,5
18143,Scott,13,4
18175,Washington,13,3
18025,Crawford,13,2
18163,Vanderburgh,13,1
18043,Floyd,14,4
18061,Harrison,14,3
18123,Perry,14,2
18129,Posey,14,1
