"row","col","code","name"
1,4,"JK","Jammu and Kashmir"
2,3,"PB","Punjab"
2,4,"HP","Himachal Pradesh"
3,2,"HR","Haryana"
3,3,"CH","Chandigarh"
3,4,"UK","Uttarakhand"
3,6,"SK","Sikkim"
3,8,"AR","Arunachal Pradesh"
4,2,"RJ","Rajasthan"
4,3,"DL","Delhi"
4,4,"UP","Uttar Pradesh"
4,5,"BR","Bihar"
4,7,"AS","Assam"
4,8,"NL","Nagaland"
5,1,"GJ","Gujarat"
5,2,"MP","Madhya Pradesh"
5,3,"CT","Chhattisgarh"
5,4,"JH","Jharkhand"
5,5,"WB","West Bengal"
5,7,"ML","Meghalaya"
5,8,"MN","Manipur"
6,1,"DD","Daman and Diu"
6,2,"DH","Dadra and Nagar Haveli"
6,3,"TG","Telangana"
6,4,"OR","Odisha"
6,7,"TR","Tripura"
6,8,"MZ","Mizoram"
7,2,"MH","Maharashtra"
7,3,"GA","Goa"
7,4,"AP","Andhra Pradesh"
8,3,"KA","Karnataka"
8,4,"PY","Puducherry"
9,1,"LD","Lakshadweep"
9,3,"KL","Kerala"
9,4,"TN","Tamil Nadu"
9,7,"AN","Andaman and Nicobar Islands"
