code,name,row,col
11110,서울특별시 종로구,5,7
11140,서울특별시 중구,6,7
11170,서울특별시 용산구,7,7
11200,서울특별시 성동구,6,8
11215,서울특별시 광진구,7,8
11230,서울특별시 동대문구,5,8
11260,서울특별시 중랑구,5,9
11290,서울특별시 성북구,4,7
11305,서울특별시 강북구,4,6
11320,서울특별시 도봉구,3,6
11350,서울특별시 노원구,3,7
11380,서울특별시 은평구,6,5
11410,서울특별시 서대문구,5,6
11440,서울특별시 마포구,6,6
11470,서울특별시 양천구,8,5
11500,서울특별시 강서구,7,5
11530,서울특별시 구로구,10,5
11545,서울특별시 금천구,9,6
11560,서울특별시 영등포구,9,5
11590,서울특별시 동작구,7,6
11620,서울특별시 관악구,8,6
11650,서울특별시 서초구,8,7
11680,서울특별시 강남구,9,7
11710,서울특별시 송파구,7,9
11740,서울특별시 강동구,6,9
26110,부산광역시 중구,19,12
26140,부산광역시 서구,20,10
26170,부산광역시 동구,19,11
26200,부산광역시 영도구,21,11
26230,부산광역시 부산진구,18,11
26260,부산광역시 동래구,17,12
26290,부산광역시 남구,20,12
26320,부산광역시 북구,18,10
26350,부산광역시 해운대구,18,13
26380,부산광역시 사하구,20,11
26410,부산광역시 금정구,17,11
26440,부산광역시 강서구,19,9
26470,부산광역시 연제구,18,12
26500,부산광역시 수영구,21,12
26530,부산광역시 사상구,19,10
26710,부산광역시 기장군,17,13
27110,대구광역시 중구,15,10
27140,대구광역시 동구,16,11
27170,대구광역시 서구,16,9
27200,대구광역시 남구,16,10
27230,대구광역시 북구,15,9
27260,대구광역시 수성구,15,11
27290,대구광역시 달서구,17,9
27710,대구광역시 달성군,17,10
28110,인천광역시 중구,10,2
28140,인천광역시 동구,8,2
28177,인천광역시 미추홀구,10,3
28185,인천광역시 연수구,11,2
28200,인천광역시 남동구,11,3
28237,인천광역시 부평구,9,3
28245,인천광역시 계양구,8,3
28260,인천광역시 서구,7,2
28710,인천광역시 강화군,6,2
28720,인천광역시 옹진군,11,1
29110,광주광역시 동구,24,4
29140,광주광역시 서구,23,3
29155,광주광역시 남구,24,3
29170,광주광역시 북구,23,4
29200,광주광역시 광산구,22,3
30110,대전광역시 동구,15,6
30140,대전광역시 중구,16,6
30170,대전광역시 서구,17,5
30200,대전광역시 유성구,16,5
30230,대전광역시 대덕구,14,6
31110,울산광역시 중구,16,12
31140,울산광역시 남구,16,13
31170,울산광역시 동구,15,13
31200,울산광역시 북구,14,13
31710,울산광역시 울주군,15,12
36110,세종특별자치시,14,5
41111,경기도 수원시 장안구,11,7
41113,경기도 수원시 권선구,11,6
41115,경기도 수원시 팔달구,12,7
41117,경기도 수원시 영통구,10,8
41131,경기도 성남시 수정구,9,9
