"row","col","code","name"
2,1,"Incheon","Incheon"
3,1,"Chungcheongnam-do","Chungcheongnam-do"
4,1,"Jeollabuk-do","Jeollabuk-do"
5,1,"Jeollanam-do","Jeollanam-do"
6,1,"Gwangju","Gwangju"
8,1,"Jeju-do","Jeju-do"
1,2,"Gyeonggi-do","Gyeonggi-do"
2,2,"Seoul","Seoul"
3,2,"Chungcheongbuk-do","Chungcheongbuk-do"
4,2,"Sejong","Sejong"
5,2,"Daejeon","Daejeon"
2,3,"Gangwon-do","Gangwon-do"
3,3,"Gyeongsangbuk-do","Gyeongsangbuk-do"
4,3," Daegu"," Daegu"
5,3,"Gyeongsangnam-do","Gyeongsangnam-do"
6,3,"Ulsan","Ulsan"
7,3,"Busan","Busan"
