"name","row","col","code"
"Gangseo",5,1,"Gangseo"
"Yangcheon",6,1,"Yangcheon"
"Guro",7,1,"Guro"
"Eunpyeong",2,2,"Eunpyeong"
"Seodaemun",3,2,"Seodaemun"
"Mapo",4,2,"Mapo"
"Yeongdeungpo",6,2,"Yeongdeungpo"
"Gumcheon",7,2,"Gumcheon"
"Seongbuk ",2,3,"Seongbuk "
"Jongno",3,3,"Jongno"
"Jung",4,3,"Jung"
"Yongsan",5,3,"Yongsan"
"Dongjak",7,3,"Dongjak"
"Gwanak",8,3,"Gwanak"
"Dobong",1,4,"Dobong"
"Gangbuk",2,4,"Gangbuk"
"Dongdaemun",3,4,"Dongdaemun"
"Seongdong",4,4,"Seongdong"
"Gangnam",6,4,"Gangnam"
"Seocho",7,4,"Seocho"
"Nowon",2,5,"Nowon"
"Jungnang",3,5,"Jungnang"
"Gwangjin",4,5,"Gwangjin"
"Songpa",6,5,"Songpa"
"Gangdong",5,6,"Gangdong"
