"row","col","code","name"
8,1,"COL","Colombo"
7,1,"GAM","Gampaha"
9,1,"KAL","Kalutara"
7,3,"KAN","Kandy"
6,3,"MAT","Matale"
8,3,"NE","Nuwara Eliya"
10,2,"GAL","Galle"
10,4,"HAM","Hambantota"
10,3,"MATARA","Matara"
1,3,"JAF","Jaffna"
2,3,"KIL","Kilinochchi"
4,2,"MAN","Mannar"
4,3,"VAV","Vavuniya"
3,3,"MUL","Mullaitivu"
5,5,"BAT","Batticaloa"
7,6,"AMP","Ampara"
4,4,"TRIN","Trincomalee"
6,2,"KURU","Kurunegala"
5,1,"PUT","Puttalam"
5,3,"ANU","Anuradhapura"
5,4,"POLO","Polonnaruwa"
7,4,"BAD","Badulla"
7,5,"MON","Monaragala"
9,2,"RAT","Ratnapura"
7,2,"KAG","Kegalle"
