"row","col","name","code"
1,3,"Azcapotzalco","Azcapotzalco"
4,3,"Coyoacán","Coyoacán"
3,1,"Cuajimalpa de Morelos","Cuajimalpa de Morelos"
1,4,"Gustavo A. Madero","Gustavo A. Madero"
3,4,"Iztacalco","Iztacalco"
3,5,"Iztapalapa","Iztapalapa"
4,2,"La Magdalena Contreras","La Magdalena Contreras"
5,4,"Milpa Alta","Milpa Alta"
3,2,"Álvaro Obregón","Álvaro Obregón"
4,4,"Tláhuac","Tláhuac"
5,2,"Tlalpan","Tlalpan"
5,3,"Xochimilco","Xochimilco"
3,3,"Benito Juárez","Benito Juárez"
2,3,"Cuauhtémoc","Cuauhtémoc"
2,2,"Miguel Hidalgo","Miguel Hidalgo"
2,4,"Venustiano Carranza","Venustiano Carranza"
