code,name,name_official,code_abbr,code_iso,code_abbr_official,col,row
2,Baja California,Baja California,BC,BCN,BC,1,1
8,Chihuahua,Chihuahua,CHIH,CHH,Chih.,3,1
26,Sonora,Sonora,SON,SON,Son.,2,1
3,Baja California Sur,Baja California Sur,BCS,BCS,BCS,1,2
5,Coahuila,Coahuila de Zaragoza,COAH,COA,Coah.,4,2
10,Durango,Durango,DGO,DUR,Dgo.,3,2
19,Nuevo León,Nuevo León,NL,NLE,NL,5,2
25,Sinaloa,Sinaloa,SIN,SIN,Sin.,2,2
28,Tamaulipas,Tamaulipas,TAM,TAM,Tamps.,6,2
1,Aguascalientes,Aguascalientes,AGS,AGU,Ags.,5,3
18,Nayarit,Nayarit,NAY,NAY,Nay.,3,3
24,San Luis Potosí,San Luis Potosí,SLP,SLP,SLP,6,3
32,Zacatecas,Zacatecas,ZAC,ZAC,Zac.,4,3
11,Guanajuato,Guanajuato,GTO,GUA,Gto.,4,4
13,Hidalgo,Hidalgo,HGO,HID,Hgo.,6,4
14,Jalisco,Jalisco,JAL,JAL,Jal.,3,4
22,Querétaro,Querétaro,QRO,QUE,Qro.,5,4
30,Veracruz,Veracruz de Ignacio de la Llave,VER,VER,Ver.,7,4
6,Colima,Colima,COL,COL,Col.,4,5
15,México,México,MEX,MEX,Mex.,5,5
29,Tlaxcala,Tlaxcala,TLAX,TLA,Tlax.,6,5
9,Ciudad de México,Ciudad de México,CDMX,CMX,CDMX,5,6
17,Morelos,Morelos,MOR,MOR,Mor.,4,6
21,Puebla,Puebla,PUE,PUE,Pue.,6,6
31,Yucatán,Yucatán,YUC,YUC,Yuc.,9,6
4,Campeche,Campeche,CAMP,CAM,Camp.,8,7
12,Guerrero,Guerrero,GRO,GRO,Gro.,5,7
16,Michoacán,Michoacán de Ocampo,MICH,MIC,Mich.,4,7
20,Oaxaca,Oaxaca,OAX,OAX,Oax.,6,7
23,Quintana Roo,Quintana Roo,QROO,ROO,Q. Roo,9,7
27,Tabasco,Tabasco,TAB,TAB,Tab.,7,7
7,Chiapas,Chiapas,CHPS,CHP,Chis.,7,8
