"row","col","code","name","name_official","name_iso"
3,5,1,"Aguascalientes","Aguascalientes","AGU"
1,1,2,"Baja California","Baja California","BCN"
2,1,3,"Baja California Sur","Baja California Sur","BCS"
5,11,4,"Campeche","Campeche","CAM"
1,4,5,"Coahuila","Coahuila de Zaragoza","COA"
4,4,6,"Colima","Colima","COL"
6,9,7,"Chiapas","Chiapas","CHP"
1,3,8,"Chihuahua","Chihuahua","CHH"
4,7,9,"Ciudad de México","Ciudad de México","CMX"
2,4,10,"Durango","Durango","DUR"
3,6,11,"Guanajuato","Guanajuato","GUA"
6,7,12,"Guerrero","Guerrero","GRO"
3,7,13,"Hidalgo","Hidalgo","HID"
4,5,14,"Jalisco","Jalisco","JAL"
5,6,15,"México","México","MEX"
5,5,16,"Michoacán","Michoacán de Ocampo","MIC"
5,7,17,"Morelos","Morelos","MOR"
3,4,18,"Nayarit","Nayarit","NAY"
1,5,19,"Nuevo León","Nuevo León","NLE"
6,8,20,"Oaxaca","Oaxaca","OAX"
4,8,21,"Puebla","Puebla","PUE"
4,6,22,"Querétaro","Querétaro","QUE"
4,12,23,"Quintana Roo","Quintana Roo","ROO"
2,6,24,"San Luis Potosí","San Luis Potosí","SLP"
2,3,25,"Sinaloa","Sinaloa","SIN"
1,2,26,"Sonora","Sonora","SON"
5,10,27,"Tabasco","Tabasco","TAB"
1,6,28,"Tamaulipas","Tamaulipas","TAM"
5,8,29,"Tlaxcala","Tlaxcala","TLA"
5,9,30,"Veracruz","Veracruz de Ignacio de la Llave","VER"
4,11,31,"Yucatán","Yucatán","YUC"
2,5,32,"Zacatecas","Zacatecas","ZAC"
