row,col,code,name
1,4,IE,Ireland
1,8,FI,Finland
1,7,SE,Sweden
1,3,IS,Iceland
1,6,NO,Norway
2,6,DK,Denmark
2,10,EE,Estonia
2,9,LV,Latvia
2,4,GB,United Kingdom
3,7,DE,Germany
3,6,NL,Netherlands
3,8,PL,Poland
3,1,CA,Canada
4,6,CH,Switzerland
4,7,BE,Belgium
4,8,CZ,Czech Republic
4,5,FR,France
4,9,SK,Slovakia
4,1,US,United States
5,5,ES,Spain
5,6,LU,Luxembourg
5,8,HU,Hungary
5,7,AT,Austria
5,4,PT,Portugal
5,1,MX,Mexico
6,6,IT,Italy
6,7,SI,Slovenia
6,12,KR,Republic of Korea
6,13,JP,Japan
7,9,GR,Greece
7,10,TR,Turkey
8,10,IL,Israel
10,12,AU,Australia
10,13,NZ,New Zealand
10,1,CL,Chile
