code,name,name_ro,row,col
SM,Satu Mare,Satu Mare,1,3
MM,Maramures,Maramureș,1,4
BN,Bistrita-Nasaud,Bistrița-Năsăud,1,5
SV,Suceava,Suceava,1,6
BT,Botosani,Botoșani,1,7
IS,Iasi,Iași,1,8
BH,Bihor,Bihor,2,3
SJ,Salaj,Sălaj,2,4
HR,Harghita,Harghita,2,5
NT,Neamt,Neamț,2,6
BC,Bacau,Bacău,2,7
VS,Vaslui,Vaslui,2,8
GL,Galati,Galați,3,8
VN,Vrancea,Vrancea,3,7
CV,Covasna,Covasna,3,6
BV,Brasov,Brașov,3,5
MS,Mures,Mureș,3,4
CJ,Cluj,Cluj,3,3
AR,Arad,Arad,3,2
TM,Timis,Timiș,4,1
HD,Hunedoara,Hunedoara,4,2
AB,Alba Iulia,Alba Iulia,4,3
SB,Sibiu,Sibiu,4,4
DB,Dambovita,Dâmbovița,4,5
PH,Prahova,Prahova,4,6
BZ,Buzau,Buzău,4,7
BR,Braila,Brăila,4,8
TL,Tulcea,Tulcea,4,9
CS,Caras-Severin,Caraș-Severin,5,2
GJ,Gorj,Gorj,5,3
VL,Valcea,Vălcea,5,4
AG,Arges,Argeș,5,5
IF,Ilfov,Ilfov,5,6
IL,Ialomita,Ialomița,5,7
CL,Calarasi,Călărași,5,8
CT,Constanta,Constanța,5,9
MH,Mehedinti,Mehedinți,6,3
DJ,Dolj,Dolj,6,4
OT,Olt,Olt,6,5
TR,Teleorman,Teleorman,6,6
GR,Giurgiu,Giurgiu,6,7
B,Bucuresti,București,7,8
