"row","col","code","name"
1,1,"Спб","Спб"
1,5,"Мур","Мур"
2,19,"Кам","Кам"
2,4,"Кар","Кар"
2,10,"Нен","Нен"
2,1,"Мск","Мск"
4,8,"Мари","Мари"
4,9,"Кир","Кир"
2,18,"Чук","Чук"
3,17,"Саха","Саха"
3,18,"Маг","Маг"
3,4,"Новг","Новг"
3,3,"Лен","Лен"
3,9,"Арх","Арх"
3,5,"Воло","Воло"
4,5,"Яро","Яро"
3,15,"Крас","Крас"
3,10,"Коми","Коми"
3,12,"Ямал","Ямал"
4,6,"Ива","Ива"
4,13,"Тюм","Тюм"
4,18,"Хаб","Хаб"
4,20,"Схлн","Схлн"
4,12,"Хан","Хан"
4,4,"Твeр","Твeр"
4,3,"Пск","Пск"
4,1,"Кали","Кали"
4,10,"Пер","Пер"
5,16,"Бур","Бур"
5,3,"Смол","Смол"
4,14,"Томск","Томск"
5,13,"Кург","Кург"
5,7,"Ниж","Ниж"
4,15,"Кем","Кем"
4,16,"Ирк","Ирк"
5,15,"Хак","Хак"
5,9,"Тат","Тат"
5,8,"Чув","Чув"
6,14,"Ал.к.","Ал.к."
4,17,"Амур","Амур"
6,15,"Тыва","Тыва"
5,10,"Удм","Удм"
5,6,"Вла","Вла"
6,12,"Чел","Чел"
5,17,"Евр","Евр"
5,14,"Ново","Ново"
6,13,"Омск","Омск"
6,8,"Уль","Уль"
6,7,"Мор","Мор"
7,5,"Лип","Лип"
4,7,"Кос","Кос"
5,12,"Свер","Свер"
7,6,"Там","Там"
6,9,"Сам","Сам"
6,4,"Орёл","Орёл"
6,5,"Тул","Тул"
6,10,"Бшк","Бшк"
6,18,"При","При"
7,4,"Курск","Курск"
7,7,"Пен","Пен"
6,6,"Ряз","Ряз"
10,6,"Став","Став"
5,4,"Калу","Калу"
5,5,"Мос","Мос"
10,7,"Чеч","Чеч"
7,8,"Сар","Сар"
8,7,"Волг","Волг"
9,3,"Крым","Крым"
7,9,"Орен","Орен"
7,14,"Алт","Алт"
10,5,"Кара","Кара"
9,5,"Крдр","Крдр"
9,4,"Адыг","Адыг"
6,16,"Заб","Заб"
6,3,"Бря","Бря"
9,6,"Рос","Рос"
11,6,"Осeт","Осeт"
11,7,"Инг","Инг"
9,7,"Калм","Калм"
9,8,"Аст","Аст"
8,5,"Бел","Бел"
8,6,"Вор","Вор"
10,8,"Даг","Даг"
11,5,"Каб","Каб"
