"col","row","code","name"
1,1,"Спб","г. Санкт-Петербург"
5,1,"Мур","Мурманская область"
1,2,"Мск","г.Москва"
4,2,"Кар","Республика Карелия"
10,2,"Нен","Ненецкий автономный округ"
3,3,"Лен","Ленинградская область"
4,3,"Новг","Новгородская область"
5,3,"Воло","Вологодская область"
9,3,"Арх","Архангельская область"
10,3,"Коми","Республика Коми"
11,3,"Ямал","Ямало-Ненецкий автономный округ"
14,3,"Крас","Красноярский край"
17,3,"Чук","Чукотский автономный округ"
1,4,"Кали","Калининградская область"
3,4,"Пск","Псковская область"
4,4,"Твер","Камчатский край"
5,4,"Яро","Смоленская область"
6,4,"Ива","Калужская область"
7,4,"Кос","Московская область"
8,4,"Мари","Республика Саха (Якутия)"
9,4,"Кир","Магаданская область"
10,4,"Перм","Владимирская область"
11,4,"Хан","Нижегородская область"
12,4,"Тюм","Ханты-Мансийский автономный округ — Югра"
13,4,"Томск","Тюменская область"
14,4,"Кем","Республика Марий Эл"
15,4,"Ирк","Кировская область"
16,4,"Якут","Пермский край"
17,4,"Маг","Амурская область"
18,4,"Камч","Хабаровский край"
3,5,"Смол","Сахалинская область"
4,5,"Калу","Псковская область"
5,5,"МО","Томская область"
6,5,"Вла","Кемеровская область"
7,5,"Ниж","Иркутская область"
8,5,"Чув","Тверская область"
9,5,"Тат","Ярославская область"
10,5,"Удм","Ивановская область"
11,5,"Свер","Костромская область"
12,5,"Кург","Свердловская область"
13,5,"Ново","Курганская область"
14,5,"Хак","Чувашская Республика"
15,5,"Бур","Республика Татарстан"
16,5,"Амур","Удмуртская Республика"
3,6,"Брян","Еврейская автономная область"
4,6,"Орёл","Новосибирская область"
5,6,"Тул","Республика Хакасия"
6,6,"Ряз","Республика Бурятия"
7,6,"Мор","Челябинская область"
8,6,"Уль","Республика Мордовия"
9,6,"Сам","Ульяновская область"
10,6,"Бшк","Самарская область"
11,6,"Чел","Республика Башкортостан"
12,6,"Омск","Приморский край"
13,6,"АлКр","Омская область"
14,6,"Тыва","Алтайский край"
15,6,"Заб","Республика Тыва"
16,6,"Евр","Забайкальский край"
17,6,"Хаб","Брянская область"
19,6,"Схлн","Орловская область"
4,7,"Курск","Тульская область"
5,7,"Лип","Рязанская область"
6,7,"Тмбв","Пензенская область"
7,7,"Пенз","Саратовская область"
8,7,"Сар","Оренбургская область"
9,7,"Орен","Республика Алтай"
13,7,"Алт","Курская область"
17,7,"Прим","Липецкая область"
5,8,"Бел","Тамбовская область"
6,8,"Вор","Белгородская область"
7,8,"Волг","Воронежская область"
3,9,"Крым","Волгоградская область"
4,9,"Адыг","Республика Крым"
5,9,"Крдр","Республика Адыгея"
6,9,"Рос","Краснодарский край"
7,9,"Калм","Ростовская область"
8,9,"Аст","Республика Калмыкия"
3,10,"Сев","Астраханская область"
5,10,"Кара","Карачаево-Черкесская Республика"
6,10,"Став","Ставропольский край"
7,10,"Чеч","Чеченская Республика"
8,10,"Даг","Республика Дагестан"
5,11,"Каб","Кабардино-Балкарская Республика"
6,11,"Осeт","Республика Северная Осетия — Алания"
7,11,"Инг","Республика Ингушетия"
