code_cd,code_cdo,code_fid,name,row,col
S12000033,00QA,292,Aberdeen City,5,8
S12000034,00QB,299,Aberdeenshire,4,8
S12000041,00QC,335,Angus,6,7
S12000035,00QD,305,Argyll & Bute,5,3
S12000005,00QF,152,Clackmannanshire,7,5
S12000006,00QH,159,Dumfries & Galloway,12,2
S12000042,00QJ,341,Dundee City,6,6
S12000008,00QK,166,East Ayrshire,11,2
S12000045,00QL,353,East Dunbartonshire,8,3
S12000010,00QM,173,East Lothian,9,7
S12000011,00QN,181,East Renfrewshire,10,3
S12000036,00QP,311,Edinburgh,9,6
S12000013,00RJ,187,Eilean Siar,3,2
S12000014,00QQ,194,Falkirk,8,4
S12000015,00QR,201,Fife,7,6
S12000046,00QS,359,Glasgow City,9,3
S12000017,00QT,208,Highland,4,4
S12000018,00QU,215,Inverclyde,9,2
S12000019,00QW,222,Midlothian,10,6
S12000020,00QX,229,Moray,4,7
S12000021,00QY,236,North Ayrshire,9,1
S12000044,00QZ,347,North Lanarkshire,9,4
S12000023,00RA,243,Orkney Islands,2,5
S12000024,00RB,250,Perth & Kinross,5,5
S12000038,00RC,317,Renfrewshire,10,2
S12000026,00QE,257,Scottish Borders,11,6
S12000027,00RD,264,Shetland Islands,1,6
S12000028,00RE,271,South Ayrshire,10,1
S12000029,00RF,278,South Lanarkshire,10,4
S12000030,00RG,285,Stirling,7,4
S12000039,00QG,323,West Dunbartonshire,8,2
S12000040,00RH,329,West Lothian,9,5


































