"col","row","code","name","name_indo"
6,6,"ANG MO KIO","ANG MO KIO","ANG MO KIO"
9,10,"BEDOK","BEDOK","BEDOK"
6,9,"BISHAN","BISHAN","BISHAN"
3,8,"BUKIT BATOK","BUKIT BATOK","BUKIT BATOK"
5,15,"BUKIT MERAH","BUKIT MERAH","BUKIT MERAH"
3,7,"BUKIT PANJANG","BUKIT PANJANG","BUKIT PANJANG"
4,9,"BUKIT TIMAH","BUKIT TIMAH","BUKIT TIMAH"
5,12,"CENTRAL","CENTRAL","CENTRAL"
2,4,"CHOA CHU KANG","CHOA CHU KANG","CHOA CHU KANG"
3,12,"CLEMENTI","CLEMENTI","CLEMENTI"
8,10,"GEYLANG","GEYLANG","GEYLANG"
8,6,"HOUGANG","HOUGANG","HOUGANG"
2,9,"JURONG EAST","JURONG EAST","JURONG EAST"
1,9,"JURONG WEST","JURONG WEST","JURONG WEST"
7,11,"KALLANG / WHAMPOA","KALLANG / WHAMPOA","KALLANG / WHAMPOA"
8,13,"MARINE PARADE","MARINE PARADE","MARINE PARADE"
11,6,"PASIR RIS","PASIR RIS","PASIR RIS"
7,4,"PUNGGOL","PUNGGOL","PUNGGOL"
4,13,"QUEENTOWN","QUEENTOWN","QUEENTOWN"
4,1,"SEMBAWANG","SEMBAWANG","SEMBAWANG"
7,5,"SENGKANG","SENGKANG","SENGKANG"
8,7,"SERANGOON","SERANGOON","SERANGOON"
10,8,"TAMPINES","TAMPINES","TAMPINES"
7,10,"TOA PAYOH","TOA PAYOH","TOA PAYOH"
3,2,"WOODLANDS","WOODLANDS","WOODLANDS"
6,3,"YISHUN","YISHUN","YISHUN"
