"row","col","code","name"
1,4,27,"FAR NORTH"
2,5,28,"NORTH EAST"
2,3,26,"NORTH"
2,2,25,"FAR NORTH"
3,1,24,"FAR NORTH WEST"
3,2,23,"NORTH WEST"
3,4,20,"CENTRAL NORTH"
3,6,19,"NORTH EAST"
3,7,18,"FAR EAST"
3,8,17,"FAR EAST"
4,2,21,"CENTRAL WEST"
4,3,11,"CENTRAL"
4,4,12,"CENTRAL"
4,5,13,"CENTRAL EAST"
4,6,14,"CENTRAL EAST"
4,8,16,"UPPER EAST COAST"
4,7,15,"EAST COAST"
5,1,22,"FAR WEST"
5,3,10,"CENTRAL"
5,4,9,"CENTRAL"
5,6,8,"CENTRAL"
5,5,7,"CITY"
6,6,1,"CITY"
6,3,5,"SOUTH WEST"
6,4,3,"CENTRAL SOUTH"
6,5,6,"CITY"
7,4,4,"SOUTH"
7,5,2,"CITY"
