row,col,code,name
1,2,15,Coruña
1,7,20,Gipuzkoa
1,3,27,Lugo
1,4,33,Asturias
1,5,39,Cantabria
1,6,48,Bizkaia
2,6,01,Álava
2,10,17,Girona
2,8,22,Huesca
2,4,24,León
2,9,25,Lleida
2,7,31,Navarra
2,3,32,Ourense
2,5,34,Palencia
2,2,36,Pontevedra
3,10,08,Barcelona
3,6,09,Burgos
3,7,26,Rioja
3,8,42,Soria
3,5,47,Valladolid
3,4,49,Zamora
3,9,50,Zaragoza
4,5,05,Ávila
4,7,19,Guadalajara
4,4,37,Salamanca
4,6,40,Segovia
4,9,43,Tarragona
4,8,44,Teruel
5,4,10,Cáceres
5,9,12,Castellón
5,7,16,Cuenca
5,6,28,Madrid
5,5,45,Toledo
5,8,46,Valencia
4,11,07,Balears
6,7,02,Albacete
6,8,03,Alicante
6,4,06,Badajoz
6,6,13,Ciudad Real
6,5,14,Córdoba
7,7,04,Almería
7,4,21,Huelva
7,6,23,Jaén
7,8,30,Murcia
7,5,41,Sevilla
8,5,11,Cádiz
8,7,18,Granada
8,6,29,Málaga
9,3,35,Palmas
10,2,38,S.C. Tenerife
10,5,51,Ceuta
10,6,52,Melilla
