"row","col","name","code"
1,10,"Don Mueang","DO"
1,12,"Sai Mai","SM"
1,17,"Nong Chok","NC"
2,14,"Khlong Sam Wa","KW"
2,11,"Bang Khen","KE"
2,9,"Lak Si","LS"
3,15,"Min Buri","MI"
3,13,"Khan Na Yao","KY"
3,11,"Lat Phrao","LP"
3,8,"Chatuchak","CH"
3,7,"Bang Sue","SU"
3,12,"Bueng Kum","BK"
4,9,"Din Daeng","DI"
4,6,"Bang Phlat","PH"
4,7,"Dusit","DU"
4,8,"Phaya Thai","PT"
4,11,"Wang Thonglang","WT"
5,1,"Thawi Watthana","TW"
5,10,"Huai Khwang","HU"
5,4,"Taling Chan","TA"
5,5,"Bangkok Noi","BN"
5,6,"Phra Nakhon","PN"
5,8,"Ratchathewi","RT"
5,15,"Lat Krabang","LK"
5,7,"Pom Prap Sattru Phai","PP"
5,12,"Bang Kapi","KP"
5,13,"Saphan Sung","SS"
6,5,"Bangkok Yai","BY"
6,8,"Pathum Wan","PA"
6,6,"Samphanthawong","SA"
6,4,"Phasi Charoen","PC"
6,3,"Bang Khae","KA"
6,1,"Nong Khaem","NK"
7,9,"Watthana","WA"
7,7,"Bang Rak","RA"
7,5,"Thon Buri","TB"
7,6,"Khlong San","KS"
7,11,"Suan Luang","SL"
7,13,"Prawet","PR"
8,8,"Khlong Toei","KH"
8,7,"Sathon","ST"
8,4,"Chom Thong","CT"
8,1,"Bang Bon","BO"
8,10,"Phra Khanong","PK"
9,6,"Bang Kho Laem","KL"
9,7,"Yan Nawa","YA"
9,5,"Rat Burana","RB"
9,11,"Bang Na","BNA"
10,4,"Thung Khru","TK"
13,2,"Bang Khun Thian","KT"
