"row","col","name","code"
2,3,"Chiang Rai","CRI"
2,2,"Chiang Mai","CMI"
3,3,"Phayao","PYO"
3,4,"Nan","NAN"
3,1,"Mae Hong Son","MSN"
3,9,"Bungkan","BKN"
3,8,"Nong Khai","NKI"
3,2,"Lampang","LPG"
3,5,"Uttaradit","UTD"
4,3,"Phrae","PRE"
4,2,"Lamphun","LPN"
4,10,"Nakhon Phanom","NPM"
4,9,"Sakon Nakhon","SNK"
4,8,"Udon Thani","UDN"
4,7,"Nong Bua Lam Phu","NBP"
4,6,"Loei","LEI"
4,5,"Phitsanulok","PLK"
4,4,"Sukhothai","STI"
5,9,"Mukdahan","MDH"
5,2,"Tak","TAK"
5,8,"Kalasin","KSN"
5,3,"Kamphaeng Phet","KPT"
5,4,"Phichit","PCT"
5,6,"Chaiyaphum","CPM"
5,7,"Khon Kaen","KKN"
5,5,"Phetchabun","PNB"
5,10,"Amnat Charoen","ACR"
5,11,"Ubon Ratchathani","UBN"
6,3,"Nakhon Sawan","NSN"
6,9,"Roi Et","RET"
6,8,"Maha Sarakham","MKM"
6,6,"Saraburi","SRI"
6,7,"Lop Buri","LRI"
6,4,"Sing Buri","SBR"
6,5,"Ang Thong","ATG"
6,10,"Yasothon","YST"
7,8,"Si Sa Ket","SSK"
7,4,"Chai Nat","CNT"
7,3,"Uthai Thani","UTI"
7,6,"Pathum Thani","PTE"
7,7,"Nakhon Ratchasima","NMA"
7,9,"Buri Ram","BRM"
7,5,"Nonthaburi","NBI"
8,9,"Surin","SRN"
8,3,"Suphan Buri","SPB"
8,2,"Kanchanaburi","KRI"
8,5,"Bangkok","BKK"
8,7,"Nakhon Nayok","NYK"
8,8,"Prachin Buri","PRI"
8,4,"Phra Nakhon Si Ayutthaya","AYA"
8,6,"Samut Prakan","SPK"
9,3,"Ratchaburi","RBR"
9,4,"Nakhon Pathom","NPT"
9,7,"Chachoengsao","CCO"
9,8,"Sa Kaeo","SKW"
9,5,"Samut Sakhon","SKN"
9,6,"Chon Buri","CBI"
10,4,"Samut Songkhram","SKM"
10,7,"Rayong","RYG"
10,8,"Chanthaburi","CTI"
11,3,"Phetchaburi","PBI"
11,9,"Trat","TRT"
12,3,"Prachuap Khiri Khan","PKN"
13,3,"Chumphon","CPN"
14,3,"Ranong","RNG"
15,3,"Surat Thani","SNI"
16,3,"Phangnga","PNA"
17,4,"Krabi","KBI"
17,5,"Nakhon Si Thammarat","NRT"
17,3,"Phuket","PKT"
18,5,"Trang","TRG"
19,5,"Phattalung","PLG"
20,7,"Pattani","PTN"
20,5,"Satun","STN"
20,6,"Songkhla","SKA"
21,8,"Narathiwat","NWT"
21,7,"Yala","YLA"
