row,col,name,code
1,14,Ardahan,TR-75
1,6,Bartin,TR-74
1,1,Edirne,TR-22
1,7,Karabük,TR-78
1,8,Kastamonu,TR-37
1,2,Kirklareli,TR-39
1,10,Samsun,TR-55
1,9,Sinop,TR-57
1,5,Zonguldak,TR-67
2,8,Amasya,TR-05
2,13,Artvin,TR-08
2,6,Çankiri,TR-18
2,7,Çorum,TR-19
2,5,Düzce,TR-81
2,10,Giresun,TR-28
2,2,Istanbul,TR-34
2,14,Kars,TR-36
2,4,Kocaeli,TR-41
2,9,Ordu,TR-52
2,12,Rize,TR-53
2,1,Tekirdag,TR-59
2,11,Trabzon,TR-61
2,3,Yalova,TR-77
3,6,Ankara,TR-06
3,13,Bayburt,TR-69
3,5,Bolu,TR-14
3,3,Bursa,TR-16
3,11,Erzincan,TR-24
3,12,Gümüshane,TR-29
3,14,Igdir,TR-76
3,7,Kirikkale,TR-71
3,4,Sakarya,TR-54
3,10,Sivas,TR-58
3,9,Tokat,TR-60
3,8,Yozgat,TR-66
4,14,Agri,TR-04
4,2,Balikesir,TR-10
4,3,Bilecik,TR-11
4,10,Bingöl,TR-12
4,12,Bitlis,TR-13
4,1,Çanakkale,TR-17
4,8,Elazig,TR-23
4,13,Erzurum,TR-25
4,4,Eskisehir,TR-26
4,6,Kayseri,TR-38
4,7,Malatya,TR-44
4,11,Mus,TR-49
4,5,Nevsehir,TR-50
4,9,Tunceli,TR-62
5,10,Adiyaman,TR-02
5,5,Afyonkarahisar,TR-03
5,7,Aksaray,TR-68
5,12,Batman,TR-72
5,11,Diyarbakir,TR-21
5,1,Izmir,TR-35
5,9,Kahramanmaras,TR-46
5,4,Kütahya,TR-43
5,2,Manisa,TR-45
5,8,Nigde,TR-51
5,3,Usak,TR-64
5,14,Van,TR-65
6,2,Aydin,TR-09
6,4,Burdur,TR-15
6,3,Denizli,TR-20
6,9,Gaziantep,TR-27
6,14,Hakkari,TR-30
6,5,Isparta,TR-32
6,7,Kirsehir,TR-40
6,6,Konya,TR-42
6,11,Mardin,TR-47
6,8,Osmaniye,TR-80
6,10,Şanlıurfa,TR-63
6,13,Siirt,TR-56
6,12,Sirnak,TR-73
7,7,Adana,TR-01
7,4,Antalya,TR-07
7,8,Hatay,TR-31
7,5,Karaman,TR-70
7,9,Kilis,TR-79
7,6,Mersin,TR-33
7,3,Mugla,TR-48
