name,code,row,col
Alachua,001,4,11
Baker,003,2,11
Bay,005,4,3
Bradford,007,3,11
Brevard,009,7,13
Broward,011,12,14
Calhoun,013,3,4
Charlotte,015,11,12
Citrus,017,6,10
Clay,019,3,12
Collier,021,12,13
Columbia,023,2,10
DeSoto,027,10,12
Dixie,029,4,9
Duval,031,2,12
Escambia,033,2,1
Flagler,035,5,13
Franklin,037,4,5
Gadsden,039,2,5
Gilchrist,041,4,10
Glades,043,11,13
Gulf,045,4,4
Hamilton,047,2,9
Hardee,049,9,12
Hendry,051,11,14
Hernando,053,7,10
Highlands,055,10,13
Hillsborough,057,8,10
Holmes,059,2,3
Indian River,061,8,14
Jackson,063,2,4
Jefferson,065,2,7
Lafayette,067,3,8
Lake,069,6,12
Lee,071,12,12
Leon,073,2,6
Levy,075,5,10
Liberty,077,3,5
Madison,079,2,8
Manatee,081,9,11
Marion,083,5,11
Martin,085,10,14
Miami-Dade,086,13,14
Monroe,087,13,13
Nassau,089,1,12
Okaloosa,091,2,2
Okeechobee,093,9,13
Orange,095,8,13
Osceola,097,8,12
Palm Beach,099,11,15
Pasco,101,7,11
Pinellas,103,7,9
Polk,105,8,11
Putnam,107,5,12
Santa Rosa,113,3,1
Sarasota,115,10,11
Seminole,117,7,12
St. Johns,109,4,12
St. Lucie,111,9,14
Sumter,119,6,11
Suwannee,121,3,9
Taylor,123,3,7
Union,125,3,10
Volusia,127,6,13
Wakulla,129,3,6
Walton,131,3,2
Washington,133,3,3
