code,name,row,col
"083",Dade,1,1
"295",Walker,1,2
"047",Catoosa,1,3
"313",Whitfield,1,4
"213",Murray,1,5
"123",Gilmer,1,6
"111",Fannin,1,7
"187",Lumpkin,1,8
"291",Union,1,9
"281",Towns,1,10
"311",White,1,11
"137",Habersham,1,12
"241",Rabun,1,13
"055",Chattooga,2,2
"115",Floyd,2,3
"129",Gordon,2,4
"015",Bartow,2,5
"227",Pickens,2,6
"057",Cherokee,2,7
"085",Dawson,2,8
"117",Forsyth,2,9
"135",Gwinnett,2,10
"139",Hall,2,11
"013",Barrow,2,12
"157",Jackson,2,13
"011",Banks,2,14
"257",Stephens,2,15
"119",Franklin,2,16
"147",Hart,2,17
"233",Polk,3,2
"143",Haralson,3,3
"223",Paulding,3,4
"067",Cobb,3,5
"121",Fulton,3,6
"089",DeKalb,3,7
"247",Rockdale,3,8
"217",Newton,3,9
"297",Walton,3,10
"219",Oconee,3,11
"059",Clarke,3,12
"195",Madison,3,13
"221",Oglethorpe,3,14
"105",Elbert,3,15
"317",Wilkes,3,16
"181",Lincoln,3,17
"045",Carroll,4,2
"097",Douglas,4,3
"077",Coweta,4,4
"113",Fayette,4,5
"063",Clayton,4,6
"255",Spalding,4,7
"151",Henry,4,8
"035",Butts,4,9
"159",Jasper,4,10
"211",Morgan,4,11
"237",Putnam,4,12
"133",Greene,4,13
"141",Hancock,4,14
"265",Taliaferro,4,15
"301",Warren,4,16
"189",McDuffie,4,17
"073",Columbia,4,18
"245",Richmond,4,19
"149",Heard,5,3
"285",Troup,5,4
"199",Meriwether,5,5
"231",Pike,5,6
"293",Upson,5,7
"171",Lamar,5,8
"079",Crawford,5,9
"207",Monroe,5,10
"021",Bibb,5,11
"169",Jones,5,12
"289",Twiggs,5,13
"009",Baldwin,5,14
"319",Wilkinson,5,15
"303",Washington,5,16
"125",Glascock,5,17
"163",Jefferson,5,18
"033",Burke,5,19
"145",Harris,6,3
"215",Muscogee,6,4
"053",Chattahoochee,6,5
"263",Talbot,6,6
"197",Marion,6,7
"269",Taylor,6,8
"249",Schley,6,9
"193",Macon,6,10
"225",Peach,6,11
"153",Houston,6,12
"023",Bleckley,6,13
"091",Dodge,6,14
"175",Laurens,6,15
"167",Johnson,6,16
"283",Treutlen,6,17
"107",Emanuel,6,18
"043",Candler,6,19
"165",Jenkins,6,20
"031",Bulloch,6,21
"251",Screven,6,22
"239",Quitman,7,3
"259",Stewart,7,4
"307",Webster,7,5
"261",Sumter,7,6
"093",Dooly,7,7
"081",Crisp,7,8
"235",Pulaski,7,9
"315",Wilcox,7,10
"271",Telfair,7,11
"309",Wheeler,7,12
"209",Montgomery,7,13
"279",Toombs,7,14
"267",Tattnall,7,15
"109",Evans,7,16
"029",Bryan,7,17
"103",Effingham,7,18
"051",Chatham,7,19
"061",Clay,8,3
"243",Randolph,8,4
"037",Calhoun,8,5
"273",Terrell,8,6
"095",Dougherty,8,7
"177",Lee,8,8
"321",Worth,8,9
"287",Turner,8,10
"277",Tift,8,11
"155",Irwin,8,12
"017",Ben Hill,8,13
"069",Coffee,8,14
"161",Jeff Davis,8,15
"001",Appling,8,16
"305",Wayne,8,17
"183",Long,8,18
"179",Liberty,8,19
"191",McIntosh,8,20
"099",Early,9,3
"201",Miller,9,4
"007",Baker,9,5
"205",Mitchell,9,6
"071",Colquitt,9,7
"075",Cook,9,8
"019",Berrien,9,9
"003",Atkinson,9,10
"005",Bacon,9,11
"229",Pierce,9,12
"025",Brantley,9,13
"127",Glynn,9,14
"253",Seminole,10,3
"087",Decatur,10,4
"131",Grady,10,5
"275",Thomas,10,6
"027",Brooks,10,7
"185",Lowndes,10,8
"173",Lanier,10,9
"101",Echols,10,10
"065",Clinch,10,11
"299",Ware,10,12
"049",Charlton,10,13
"039",Camden,10,14
