code,name,row,col
19005,Allamakee,1,11
19059,Dickinson,1,3
19063,Emmet,1,4
19089,Howard,1,9
19109,Kossuth,1,5
19119,Lyon,1,1
19131,Mitchell,1,8
19143,Osceola,1,2
19189,Winnebago,1,6
19191,Winneshiek,1,10
19195,Worth,1,7
19033,Cerro Gordo,2,7
19037,Chickasaw,2,9
19041,Clay,2,3
19043,Clayton,2,11
19065,Fayette,2,10
19067,Floyd,2,8
19081,Hancock,2,6
19141,O'Brien,2,2
19147,Palo Alto,2,4
19167,Sioux,2,1
19017,Bremer,3,9
19021,Buena Vista,3,3
19023,Butler,3,8
19035,Cherokee,3,2
19069,Franklin,3,7
19091,Humboldt,3,5
19149,Plymouth,3,1
19151,Pocahontas,3,4
19197,Wright,3,6
19013,Black Hawk,4,9
19019,Buchanan,4,10
19025,Calhoun,4,4
19055,Delaware,4,11
19061,Dubuque,4,12
19075,Grundy,4,8
19079,Hamilton,4,6
19083,Hardin,4,7
19093,Ida,4,2
19161,Sac,4,3
19187,Webster,4,5
19193,Woodbury,4,1
19011,Benton,5,9
19015,Boone,5,5
19027,Carroll,5,3
19045,Clinton,5,13
19047,Crawford,5,2
19073,Greene,5,4
19097,Jackson,5,12
19105,Jones,5,11
19113,Linn,5,10
19127,Marshall,5,7
19133,Monona,5,1
19169,Story,5,6
19171,Tama,5,8
19009,Audubon,6,3
19031,Cedar,6,11
19049,Dallas,6,5
19077,Guthrie,6,4
19085,Harrison,6,1
19095,Iowa,6,9
19099,Jasper,6,7
19103,Johnson,6,10
19153,Polk,6,6
19157,Poweshiek,6,8
19163,Scott,6,12
19165,Shelby,6,2
19001,Adair,7,3
19029,Cass,7,2
19107,Keokuk,7,9
19115,Louisa,7,11
19121,Madison,7,4
19123,Mahaska,7,8
19125,Marion,7,6
19139,Muscatine,7,12
19155,Pottawattamie,7,1
19181,Warren,7,5
19183,Washington,7,10
19003,Adams,8,3
19039,Clarke,8,5
19057,Des Moines,8,11
19087,Henry,8,10
19101,Jefferson,8,9
19117,Lucas,8,6
19129,Mills,8,1
19135,Monroe,8,7
19137,Montgomery,8,2
19175,Union,8,4
19179,Wapello,8,8
19007,Appanoose,9,7
19051,Davis,9,8
19053,Decatur,9,5
19071,Fremont,9,1
19111,Lee,9,10
19145,Page,9,2
19159,Ringgold,9,4
19173,Taylor,9,3
19177,Van Buren,9,9
19185,Wayne,9,6
