"code","name","row","col","code_map_num"
119,"Lyon",1,1,1
143,"Osceola",1,2,2
59,"Dickinson",1,3,3
63,"Emmet",1,4,4
109,"Kossuth",1,5,5
189,"Winnebago",1,6,6
195,"Worth",1,7,7
131,"Mitchell",1,8,8
89,"Howard",1,9,9
191,"Winneshiek",1,10,10
5,"Allamakee",1,11,11
167,"Sioux",2,1,12
141,"O'Brien",2,2,13
41,"Clay",2,3,14
147,"Palo Alto",2,4,15
81,"Hancock",2,6,16
33,"Cerro Gordo",2,7,17
67,"Floyd",2,8,18
37,"Chickasaw",2,9,19
65,"Fayette",2,10,20
43,"Clayton",2,11,21
149,"Plymouth",3,1,22
35,"Cherokee",3,2,23
21,"Buena Vista",3,3,24
151,"Pocahontas",3,4,25
91,"Humboldt",3,5,26
197,"Wright",3,6,27
69,"Franklin",3,7,28
23,"Butler",3,8,29
17,"Bremer",3,9,30
193,"Woodbury",4,1,31
93,"Ida",4,2,32
161,"Sac",4,3,33
25,"Calhoun",4,4,34
187,"Webster",4,5,35
79,"Hamilton",4,6,36
83,"Hardin",4,7,37
75,"Grundy",4,8,38
13,"Black Hawk",4,9,39
19,"Buchanan",4,10,40
55,"Delaware",4,11,41
61,"Dubuque",4,12,42
133,"Monona",5,1,43
47,"Crawford",5,2,44
27,"Carroll",5,3,45
73,"Greene",5,4,46
15,"Boone",5,5,47
169,"Story",5,6,48
127,"Marshall",5,7,49
171,"Tama",5,8,50
11,"Benton",5,9,51
113,"Linn",5,10,52
105,"Jones",5,11,53
97,"Jackson",5,12,54
85,"Harrison",6,1,55
165,"Shelby",6,2,56
9,"Audubon",6,3,57
77,"Guthrie",6,4,58
49,"Dallas",6,5,59
153,"Polk",6,6,60
99,"Jasper",6,7,61
157,"Poweshiek",6,8,62
95,"Iowa",6,9,63
103,"Johnson",6,10,64
31,"Cedar",6,11,65
45,"Clinton",6,12,66
155,"Pottawattamie",7,1,67
29,"Cass",7,2,68
1,"Adair",7,3,69
121,"Madison",7,4,70
181,"Warren",7,5,71
125,"Marion",7,6,72
123,"Mahaska",7,7,73
107,"Keokuk",7,8,74
183,"Washington",7,9,75
115,"Louisa",7,10,76
139,"Muscatine",7,11,77
163,"Scott",7,12,78
129,"Mills",8,1,79
137,"Montgomery",8,2,80
3,"Adams",8,3,81
175,"Union",8,4,82
39,"Clarke",8,5,83
117,"Lucas",8,6,84
135,"Monroe",8,7,85
179,"Wapello",8,8,86
101,"Jefferson",8,9,87
87,"Henry",8,10,88
57,"Des Moines",8,11,89
71,"Fremont",9,1,90
145,"Page",9,2,91
173,"Taylor",9,3,92
159,"Ringgold",9,4,93
53,"Decatur",9,5,94
185,"Wayne",9,6,95
7,"Appanoose",9,7,96
51,"Davis",9,8,97
177,"Van Buren",9,9,98
111,"Lee",9,10,99
