"name","row","col","code"
"Boone",1,6,"17007"
"Jo Daviess",1,3,"17085"
"Lake",1,8,"17097"
"McHenry",1,7,"17111"
"Stephenson",1,4,"17177"
"Winnebago",1,5,"17201"
"Carroll",2,3,"17015"
"Cook",2,8,"17031"
"De Kalb",2,5,"17039"
"Du Page",2,7,"17043"
"Kane",2,6,"17089"
"Ogle",2,4,"17141"
"Kendall",3,6,"17093"
"LaSalle",3,5,"17099"
"Lee",3,4,"17103"
"Rock Island",3,2,"17161"
"Whiteside",3,3,"17195"
"Will",3,8,"17197"
"Bureau",4,4,"17011"
"Grundy",4,6,"17063"
"Henry",4,3,"17073"
"Kankakee",4,8,"17091"
"Mercer",4,2,"17131"
"Putnam",4,5,"17155"
"Ford",5,7,"17053"
"Henderson",5,1,"17071"
"Iroquois",5,8,"17075"
"Knox",5,3,"17095"
"Livingston",5,6,"17105"
"Marshall",5,5,"17123"
"Stark",5,4,"17175"
"Warren",5,2,"17187"
"Peoria",6,4,"17143"
"Woodford",6,5,"17203"
"Fulton",7,3,"17057"
"Hancock",7,1,"17067"
"Mason",7,4,"17125"
"McDonough",7,2,"17109"
"McLean",7,6,"17113"
"Tazewell",7,5,"17179"
"Adams",8,1,"17001"
"Cass",8,3,"17017"
"Champaign",8,7,"17019"
"De Witt",8,6,"17037"
"Logan",8,5,"17107"
"Menard",8,4,"17129"
"Schuyler",8,2,"17171"
"Vermillion",8,8,"17183"
"Brown",9,2,"17009"
"Douglas",9,7,"17041"
"Edgar",9,8,"17045"
"Macon",9,5,"17115"
"Morgan",9,3,"17137"
"Piatt",9,6,"17147"
"Sangamon",9,4,"17169"
"Christian",10,5,"17021"
"Coles",10,7,"17029"
"Moultrie",10,6,"17139"
"Pike",10,1,"17149"
"Scott",10,2,"17173"
"Calhoun",11,1,"17013"
"Clark",11,8,"17023"
"Cumberland",11,7,"17035"
"Greene",11,2,"17061"
"Macoupin",11,3,"17117"
"Montgomery",11,4,"17135"
"Shelby",11,6,"17163"
"Crawford",12,8,"17033"
"Effingham",12,6,"17049"
"Fayette",12,5,"17051"
"Jasper",12,7,"17079"
"Jersey",12,2,"17083"
"Bond",13,4,"17005"
"Clay",13,6,"17025"
"Lawrence",13,8,"17101"
"Madison",13,3,"17119"
"Marion",13,5,"17121"
"Richland",13,7,"17159"
"Clinton",14,4,"17027"
"Edwards",14,7,"17047"
"Monroe",14,2,"17133"
"Saint Clair",14,3,"17165"
"Wabash",14,8,"17185"
"Wayne",14,6,"17191"
"Jefferson",15,5,"17081"
"Washington",15,4,"17189"
"Franklin",16,5,"17055"
"Hamilton",16,6,"17065"
"Perry",16,4,"17145"
"Randolph",16,3,"17157"
"White",16,7,"17193"
"Gallatin",17,7,"17059"
"Jackson",17,4,"17077"
"Saline",17,6,"17167"
"Williamson",17,5,"17199"
"Hardin",18,7,"17069"
"Johnson",18,5,"17087"
"Pope",18,6,"17151"
"Union",18,4,"17181"
"Alexander",19,4,"17003"
"Massac",19,6,"17127"
"Pulaski",19,5,"17153"
