"code","name","row","col"
"18089","Lake",1,1
"18127","Porter",1,2
"18091","LaPorte",1,3
"18141","St. Joseph",1,4
"18039","Elkhart",1,5
"18087","LaGrange",1,6
"18151","Steuben",1,7
"18033","DeKalb",2,7
"18113","Noble",2,6
"18085","Kosciusko",2,5
"18099","Marshall",2,4
"18149","Starke",2,3
"18073","Jasper",2,2
"18111","Newton",2,1
"18003","Allen",3,7
"18183","Whitley",3,6
"18169","Wabash",3,5
"18049","Fulton",3,4
"18131","Pulaski",3,3
"18181","White",3,2
"18007","Benton",3,1
"18001","Adams",4,7
"18179","Wells",4,6
"18069","Huntington",4,5
"18103","Miami",4,4
"18015","Carroll",4,3
"18157","Tippecanoe",4,2
"18171","Warren",4,1
"18075","Jay",5,7
"18009","Blackford",5,6
"18053","Grant",5,5
"18067","Howard",5,4
"18017","Cass",5,3
"18107","Montgomery",5,2
"18045","Fountain",5,1
"18135","Randolph",6,7
"18035","Delaware",6,6
"18095","Madison",6,5
"18159","Tipton",6,4
"18023","Clinton",6,3
"18121","Parke",6,2
"18165","Vermillion",6,1
"18177","Wayne",7,7
"18065","Henry",7,6
"18059","Hancock",7,5
"18057","Hamilton",7,4
"18011","Boone",7,3
"18133","Putnam",7,2
"18167","Vigo",7,1
