code,name,row,col
"001","Allegany",1,2
"005","Baltimore",1,6
"013","Carroll",1,5
"015","Cecil",1,8
"021","Frederick",1,4
"023","Garrett",1,1
"025","Harford",1,7
"043","Washington",1,3
"510","Baltimore City",2,6
"027","Howard",2,5
"029","Kent",2,8
"031","Montgomery",2,4
"003","Anne Arundel",3,6
"033","Prince George's",3,5
"035","Queen Anne's",3,8
"009","Calvert",4,6
"011","Caroline",4,9
"017","Charles",4,5
"041","Talbot",4,8
"019","Dorchester",5,8
"039","St. Mary's",5,6
"045","Wicomico",5,9
"037","Somerset",6,9
"047","Worcester",6,10
