"name","code","row","col"
"Adair","001",2,7
"Andrew","003",2,2
"Atchison","005",1,1
"Audrain","007",5,8
"Barry","009",12,4
"Barton","011",9,3
"Bates","013",7,3
"Benton","015",7,5
"Bollinger","017",11,12
"Boone","019",5,7
"Buchanan","021",3,2
"Butler","023",12,11
"Caldwell","025",3,4
"Callaway","027",6,8
"Camden","029",8,6
"Cape Girardeau","031",11,13
"Carroll","033",4,5
"Carter","035",11,10
"Cass","037",6,3
"Cedar","039",9,4
"Chariton","041",4,6
"Christian","043",11,5
"Clark","045",1,9
"Clay","047",4,2
"Clinton","049",4,3
"Cole","051",7,7
"Cooper","053",6,6
"Crawford","055",9,10
"Dade","057",10,4
"Dallas","059",9,6
"Daviess","061",2,4
"Dekalb","063",3,3
"Dent","065",10,9
"Douglas","067",11,6
"Dunklin","069",12,12
"Franklin","071",8,10
"Gasconade","073",8,9
"Gentry","075",2,3
"Greene","077",10,5
"Grundy","079",2,5
"Harrison","081",1,4
"Henry","083",7,4
"Hickory","085",8,5
"Holt","087",2,1
"Howard","089",5,6
"Howell","091",12,8
"Iron","093",10,11
"Jackson","095",5,3
"Jasper","097",10,3
"Jefferson","099",8,11
"Johnson","101",6,4
"Knox","103",2,8
"Laclede","105",9,7
"Lafayette","107",5,4
"Lawrence","109",11,4
"Lewis","111",2,9
"Lincoln","113",5,10
"Linn","115",3,6
"Livingston","117",3,5
"Macon","121",3,7
"Madison","123",9,12
"Maries","125",8,8
"Marion","127",3,9
"McDonald","119",12,3
"Mercer","129",1,5
"Miller","131",8,7
"Mississippi","133",13,14
"Moniteau","135",6,7
"Monroe","137",4,8
"Montgomery","139",6,9
"Morgan","141",7,6
"New Madrid","143",13,13
"Newton","145",11,3
"Nodaway","147",1,2
"Oregon","149",12,9
"Osage","151",7,8
"Ozark","153",12,7
"Pemiscot","155",14,13
"Perry","157",10,14
"Pettis","159",6,5
"Phelps","161",9,9
"Pike","163",5,9
"Platte","165",4,1
"Polk","167",9,5
"Pulaski","169",9,8
"Putnam","171",1,6
"Ralls","173",4,9
"Randolph","175",4,7
"Ray","177",4,4
"Reynolds","179",10,10
"Ripley","181",12,10
"Saline","195",5,5
"Schuyler","197",1,7
"Scotland","199",1,8
"Scott","201",12,14
"Shannon","203",11,9
"Shelby","205",3,8
"St Charles","183",6,10
"St Clair","185",8,4
"St Francois","187",10,12
"St Louis","189",7,11
"St Louis City","510",7,12
"Ste. Genevieve","186",10,13
"Stoddard","207",12,13
"Stone","209",12,5
"Sullivan","211",2,6
"Taney","213",12,6
"Texas","215",10,8
"Vernon","217",8,3
"Warren","219",7,10
"Washington","221",9,11
"Wayne","223",11,11
"Webster","225",10,6
"Worth","227",1,3
"Wright","229",10,7
