name,row,col,code
Rio Arriba,1,2,"039"
Taos,1,3,"055"
Colfax,1,4,"007"
San Juan,1,1,"045"
Union,1,5,"059"
Mora,2,4,"033"
Sandoval,2,2,"043"
Los Alamos,2,3,"028"
Mckinley,2,1,"031"
Harding,2,5,"021"
Santa Fe,3,3,"049"
Bernalillo,3,2,"001"
San Miguel,3,4,"047"
Cibola,3,1,"006"
Quay,4,5,"037"
Torrance,4,3,"057"
Guadalupe,4,4,"019"
Valencia,4,2,"061"
De Baca,5,4,"011"
Curry,5,5,"009"
Catron,5,1,"003"
Socorro,5,2,"053"
Lincoln,5,3,"027"
Chaves,6,4,"005"
Roosevelt,6,5,"041"
Grant,7,1,"017"
Sierra,6,2,"051"
Otero,6,3,"035"
Lea,7,5,"025"
Eddy,7,4,"015"
Luna,7,2,"029"
Doña Ana,7,3,"013"
Hidalgo,8,1,"023"
