name,row,col,code
Clinton,1,12,36019
Franklin,1,11,36033
St Lawrence,1,10,36089
Essex,2,12,36031
Hamilton,2,11,36041
Lewis,2,10,36049
Herkimer,3,10,36043
Jefferson,3,9,36045
Saratoga,3,11,36091
Warren,3,12,36113
Fulton,4,10,36035
Oswego,4,9,36075
Schenectady,4,11,36093
Washington,4,12,36115
Albany,5,11,36001
Montgomery,5,10,36057
Oneida,5,9,36065
Orleans,5,3,36073
Rensselaer,5,12,36083
Cayuga,6,7,36011
Columbia,6,12,36021
Genesee,6,3,36037
Greene,6,11,36039
Monroe,6,4,36055
Niagara,6,2,36063
Onondaga,6,8,36067
Otsego,6,9,36077
Schoharie,6,10,36095
Seneca,6,6,36099
Wayne,6,5,36117
Chenango,7,9,36017
Cortland,7,7,36023
Delaware,7,10,36025
Dutchess,7,12,36027
Erie,7,2,36029
Livingston,7,4,36051
Madison,7,8,36053
Ontario,7,5,36069
Ulster,7,11,36111
Wyoming,7,3,36121
Yates,7,6,36123
Allegany,8,3,36003
Broome,8,9,36007
Cattaraugus,8,2,36009
Chautauqua,8,1,36013
Chemung,8,7,36015
Orange,8,11,36071
Putnam,8,12,36079
Schuyler,8,5,36097
Steuben,8,4,36101
Sullivan,8,10,36105
Tioga,8,8,36107
Tompkins,8,6,36109
Rockland,9,11,36087
Westchester,9,12,36119
Bronx,10,12,36005
New York,10,11,36061
Kings,11,11,36047
Nassau,11,13,36059
Queens,11,12,36081
Richmond,11,10,36085
Suffolk,11,14,36103
