"name","row","col","code"
"Williams",1,1,"Williams"
"Fulton",1,2,"Fulton"
"Lucas",1,3,"Lucas"
"Ottawa",1,4,"Ottawa"
"Lake",1,8,"Lake"
"Ashtabula",1,9,"Ashtabula"
"Defiance",2,1,"Defiance"
"Henry",2,2,"Henry"
"Wood",2,3,"Wood"
"Sandusky",2,4,"Sandusky"
"Erie",2,5,"Erie"
"Lorain",2,6,"Lorain"
"Cuyahoga",2,7,"Cuyahoga"
"Geauga",2,8,"Geauga"
"Trumbull",2,9,"Trumbull"
"Paulding",3,1,"Paulding"
"Putnam",3,2,"Putnam"
"Hancock",3,3,"Hancock"
"Seneca",3,4,"Seneca"
"Huron",3,5,"Huron"
"Medina",3,6,"Medina"
"Summit",3,7,"Summit"
"Portage",3,8,"Portage"
"Mahoning",3,9,"Mahoning"
"Van Wert",4,1,"Van Wert"
"Allen",4,2,"Allen"
"Hardin",4,3,"Hardin"
"Wyandot",4,4,"Wyandot"
"Crawford",4,5,"Crawford"
"Richland",4,6,"Richland"
"Ashland",4,7,"Ashland"
"Wayne",4,8,"Wayne"
"Stark",4,9,"Stark"
"Columbiana",4,10,"Columbiana"
"Mercer",5,1,"Mercer"
"Auglaize",5,2,"Auglaize"
"Logan",5,3,"Logan"
"Union",5,4,"Union"
"Marion",5,5,"Marion"
"Morrow",5,6,"Morrow"
"Knox",5,7,"Knox"
"Holmes",5,8,"Holmes"
"Tuscarawas",5,9,"Tuscarawas"
"Carroll",5,10,"Carroll"
"Darke",6,1,"Darke"
"Shelby",6,2,"Shelby"
"Champaign",6,3,"Champaign"
"Delaware",6,5,"Delaware"
"Licking",6,6,"Licking"
"Coshocton",6,7,"Coshocton"
"Guernsey",6,8,"Guernsey"
"Harrison",6,9,"Harrison"
"Jefferson",6,10,"Jefferson"
"Madison",6,4,"Madison"
"Miami",7,2,"Miami"
"Clark",7,3,"Clark"
"Franklin",7,5,"Franklin"
"Fairfield",7,6,"Fairfield"
"Perry",7,7,"Perry"
"Muskingum",7,8,"Muskingum"
"Noble",7,9,"Noble"
"Belmont",7,10,"Belmont"
"Fayette",7,4,"Fayette"
"Preble",8,1,"Preble"
"Montgomery",8,2,"Montgomery"
"Greene",8,3,"Greene"
"Pickaway",8,4,"Pickaway"
"Hocking",8,5,"Hocking"
"Athens",8,6,"Athens"
"Morgan",8,7,"Morgan"
"Washington",8,8,"Washington"
"Monroe",8,9,"Monroe"
"Butler",9,1,"Butler"
"Warren",9,2,"Warren"
"Clinton",9,3,"Clinton"
"Highland",9,4,"Highland"
"Ross",9,5,"Ross"
"Vinton",9,6,"Vinton"
"Meigs",9,9,"Meigs"
"Jackson",9,7,"Jackson"
"Gallia",9,8,"Gallia"
"Hamilton",10,1,"Hamilton"
"Clermont",10,2,"Clermont"
"Brown",10,3,"Brown"
"Adams",10,4,"Adams"
"Pike",10,5,"Pike"
"Scioto",10,6,"Scioto"
"Lawrence",10,7,"Lawrence"
