code,name,row,col
40007,Beaver,1,3
40025,Cimarron,1,1
40139,Texas,1,2
40059,Harper,1,4
40003,Alfalfa,1,6
40151,Woods,1,5
40053,Grant,1,7
40071,Kay,1,8
40113,Osage,1,9
40147,Washington,1,10
40105,Nowata,1,11
40035,Craig,1,12
40115,Ottawa,1,13
40041,Delaware,2,14
40045,Ellis,2,4
40153,Woodward,2,5
40047,Garfield,2,7
40093,Major,2,6
40103,Noble,2,8
40097,Mayes,2,13
40131,Rogers,2,12
40117,Pawnee,2,10
40143,Tulsa,2,11
40119,Payne,2,9
40145,Wagoner,3,12
40011,Blaine,3,6
40129,Roger Mills,3,4
40073,Kingfisher,3,7
40043,Dewey,3,5
40083,Logan,3,8
40037,Creek,3,10
40081,Lincoln,3,9
40111,Okmulgee,3,11
40021,Cherokee,3,13
40001,Adair,3,14
40009,Beckham,4,4
40039,Custer,4,5
40017,Canadian,4,7
40109,Oklahoma,4,8
40149,Washita,4,6
40101,Muskogee,4,13
40027,Cleveland,4,9
40125,Pottawatomie,4,10
40091,McIntosh,4,12
40107,Okfuskee,4,11
40135,Sequoyah,4,14
40133,Seminole,5,10
40061,Haskell,5,13
40015,Caddo,5,7
40057,Harmon,5,4
40075,Kiowa,5,6
40055,Greer,5,5
40051,Grady,5,8
40049,Garvin,5,9
40063,Hughes,5,11
40121,Pittsburg,5,12
40127,Pushmataha,5,14
40099,Murray,6,10
40031,Comanche,6,7
40065,Jackson,6,5
40141,Tillman,6,6
40077,Latimer,6,13
40137,Stephens,6,8
40087,McClain,6,9
40123,Pontotoc,6,11
40005,Atoka,6,12
40079,Le Flore,6,14
40069,Johnston,7,10
40029,Coal,7,11
40019,Carter,7,9
40089,McCurtain,7,14
40067,Jefferson,7,8
40033,Cotton,7,7
40023,Choctaw,7,13
40013,Bryan,7,12
40095,Marshall,8,11
40085,Love,8,10
