"code","name","row","col"
"Erie",1,1,1
"Warren",2,2,3
"McKean",3,2,4
"Potter",4,2,6
"Tioga",5,2,8
"Bradford",6,2,9
"Susquehanna",7,2,11
"Wayne",8,2,12
"Crawford",9,2,1
"Cameron",10,3,5
"Elk",11,3,4
"Forest",12,3,3
"Pike",13,3,12
"Lackawanna",14,3,11
"Wyoming",15,3,10
"Sullivan",16,3,9
"Lycoming",17,3,7
"Clinton",18,3,6
"Venango",19,3,2
"Mercer",20,3,1
"Jefferson",21,4,4
"Clarion",22,4,3
"Luzerne",23,4,11
"Montour",24,4,8
"Union",25,4,7
"Centre",26,4,6
"Clearfield",27,4,5
"Lawrence",28,4,1
"Butler",29,4,2
"Columbia",30,4,9
"Armstrong",31,5,3
"Indiana",32,5,4
"Monroe",33,5,12
"Carbon",34,5,11
"Schuylkill",35,5,10
"Northumberland",36,5,8
"Snyder",37,5,7
"Mifflin",38,5,6
"Beaver",39,5,1
"Northampton",40,6,12
"Lehigh",41,6,11
"Berks",42,6,10
"Perry",43,6,7
"Juniata",44,6,6
"Blair",45,6,4
"Cambria",46,6,3
"Dauphin",47,6,8
"Lebanon",48,6,9
"Allegheny",49,6,2
"Bucks",50,7,12
"Montgomery",51,7,11
"Cumberland",52,7,7
"Huntingdon",53,7,5
"Westmoreland",54,7,3
"Washington",55,7,1
"Greene",56,8,1
"Philadelphia",57,8,12
"Delaware",58,8,11
"Chester",59,8,10
"Lancaster",60,8,9
"York",61,8,8
"Adams",62,8,7
"Franklin",63,8,6
"Fulton",64,8,5
"Bedford",65,8,4
"Somerset",66,8,3
"Fayette",67,8,2
