"row","col","code","name"
1,1,"AK","AK"
1,10,"VT","VT"
1,11,"NH","NH"
1,12,"ME","ME"
2,9,"NY","NY"
2,10,"MA","MA"
3,1,"WA","WA"
3,2,"ID","ID"
3,3,"MT","MT"
3,4,"ND","ND"
3,5,"MN","MN"
3,6,"WI","WI"
3,7,"MI","MI"
3,8,"OH","OH"
3,9,"NJ","NJ"
3,10,"CT","CT"
3,11,"RI","RI"
4,1,"OR","OR"
4,2,"UT","UT"
4,3,"WY","WY"
4,4,"SD","SD"
4,5,"IA","IA"
4,6,"IL","IL"
4,7,"IN","IN"
4,8,"PA","PA"
4,9,"MD","MD"
4,10,"DC","DC"
5,1,"CA","CA"
5,2,"NV","NV"
5,3,"CO","CO"
5,4,"NE","NE"
5,5,"MO","MO"
5,6,"KY","KY"
5,7,"WV","WV"
5,8,"VA","VA"
5,9,"DE","DE"
6,2,"AZ","AZ"
6,3,"NM","NM"
6,4,"KS","KS"
6,5,"AR","AR"
6,6,"TN","TN"
6,7,"AL","AL"
6,8,"NC","NC"
7,4,"OK","OK"
7,5,"LA","LA"
7,6,"MS","MS"
7,7,"GA","GA"
7,8,"SC","SC"
8,1,"HI","HI"
8,4,"TX","TX"
8,8,"FL","FL"
