"code","row","col","name"
"AK",1,1,"Alaska"
"AL",6,7,"Alabama"
"AR",6,5,"Arkansas"
"AZ",6,2,"Arizona"
"CA",5,1,"California"
"CO",5,3,"Colorado"
"CT",4,11,"Connecticut"
"DC",6,10,"District of Columbia"
"DE",5,10,"Delaware"
"FL",8,8,"Florida"
"GA",7,7,"Georgia"
"HI",8,1,"Hawaii"
"IA",4,5,"Iowa"
"ID",3,2,"Idaho"
"IL",4,6,"Illinois"
"IN",4,7,"Indiana"
"KS",6,4,"Kansas"
"KY",5,6,"Kentucky"
"LA",7,5,"Louisiana"
"MA",3,11,"Massachusetts"
"MD",5,9,"Maryland"
"ME",1,13,"Maine"
"MI",3,8,"Michigan"
"MN",3,5,"Minnesota"
"MO",5,5,"Missouri"
"MS",7,6,"Mississippi"
"MT",3,3,"Montana"
"NC",6,8,"North Carolina"
"ND",3,4,"North Dakota"
"NE",5,4,"Nebraska"
"NH",2,12,"New Hampshire"
"NJ",4,10,"New Jersey"
"NM",6,3,"New Mexico"
"NV",5,2,"Nevada"
"NY",3,10,"New York"
"OH",4,8,"Ohio"
"OK",7,4,"Oklahoma"
"OR",4,1,"Oregon"
"PA",4,9,"Pennsylvania"
"RI",4,12,"Rhode Island"
"SC",7,8,"South Carolina"
"SD",4,4,"South Dakota"
"TN",6,6,"Tennessee"
"TX",8,4,"Texas"
"UT",4,2,"Utah"
"VA",5,8,"Virginia"
"VT",2,11,"Vermont"
"WA",3,1,"Washington"
"WI",3,6,"Wisconsin"
"WV",5,7,"West Virginia"
"WY",4,3,"Wyoming"
