"code","row","col","name"
"AK",1,1,"Alaska"
"AL",7,7,"Alabama"
"AR",7,5,"Arkansas"
"AZ",7,2,"Arizona"
"CA",6,1,"California"
"CO",6,3,"Colorado"
"CT",4,10,"Connecticut"
"DC",5,10,"Washington, D.C."
"DE",6,9,"Delaware"
"FL",9,8,"Florida"
"GA",8,7,"Georgia"
"HI",9,1,"Hawaii"
"IA",5,5,"Iowa"
"ID",4,2,"Idaho"
"IL",5,6,"Illinois"
"IN",5,7,"Indiana"
"KS",7,4,"Kansas"
"KY",6,6,"Kentucky"
"LA",8,5,"Louisiana"
"MA",3,10,"Massachusetts"
"MD",5,9,"Maryland"
"ME",1,12,"Maine"
"MI",4,7,"Michigan"
"MN",4,5,"Minnesota"
"MO",6,5,"Missouri"
"MS",8,6,"Mississippi"
"MT",4,3,"Montana"
"NC",7,8,"North Carolina"
"ND",4,4,"North Dakota"
"NE",6,4,"Nebraska"
"NH",2,11,"New Hampshire"
"NJ",4,9,"New Jersey"
"NM",7,3,"New Mexico"
"NV",6,2,"Nevada"
"NY",3,9,"New York"
"OH",4,8,"Ohio"
"OK",8,4,"Oklahoma"
"OR",5,1,"Oregon"
"PA",5,8,"Pennsylvania"
"RI",4,11,"Rhode Island"
"SC",8,8,"South Carolina"
"SD",5,4,"South Dakota"
"TN",7,6,"Tennessee"
"TX",9,4,"Texas"
"UT",5,2,"Utah"
"VA",6,8,"Virginia"
"VT",2,10,"Vermont"
"WA",4,1,"Washington"
"WI",4,6,"Wisconsin"
"WV",6,7,"West Virginia"
"WY",5,3,"Wyoming"
"PR",9,12,"Puerto Rico"
