"name","row","col","code"
"Alaska",1,1,"Alaska"
"Vermont",1,10,"Vermont"
"New Hampshire",1,11,"New Hampshire"
"Maine",1,12,"Maine"
"New York",2,9,"New York"
"Connecticut",2,10,"Connecticut"
"Massachusetts",2,11,"Massachusetts"
"Washington",3,1,"Washington"
"North Dakota",3,3,"North Dakota"
"South Dakota",3,4,"South Dakota"
"Minnesota",3,5,"Minnesota"
"Montana",3,2,"Montana"
"Wisconsin",3,6,"Wisconsin"
"Michigan",3,7,"Michigan"
"Pennsylvania",3,9,"Pennsylvania"
"New Jersey",3,10,"New Jersey"
"Rhode Island",3,11,"Rhode Island"
"Oregon",4,1,"Oregon"
"Idaho",4,2,"Idaho"
"Wyoming",4,3,"Wyoming"
"Nebraska",4,4,"Nebraska"
"Iowa",4,5,"Iowa"
"Illinois",4,6,"Illinois"
"Indiana",4,7,"Indiana"
"Ohio",4,8,"Ohio"
"Virginia",4,9,"Virginia"
"District of Columbia",4,10,"District of Columbia"
"Delaware",4,11,"Delaware"
"Nevada",5,1,"Nevada"
"Utah",5,2,"Utah"
"Colorado",5,3,"Colorado"
"Kansas",5,4,"Kansas"
"Missouri",5,5,"Missouri"
"Maryland",5,10,"Maryland"
"Tennessee",5,6,"Tennessee"
"Kentucky",5,7,"Kentucky"
"West Virginia",5,8,"West Virginia"
"North Carolina",5,9,"North Carolina"
"California",6,1,"California"
"Arizona",6,2,"Arizona"
"New Mexico",6,3,"New Mexico"
"Oklahoma",6,4,"Oklahoma"
"Arkansas",6,5,"Arkansas"
"Mississippi",6,6,"Mississippi"
"Alabama",6,7,"Alabama"
"Georgia",6,8,"Georgia"
"South Carolina",6,9,"South Carolina"
"Texas",7,4,"Texas"
"Louisiana",7,5,"Louisiana"
"Florida",7,9,"Florida"
"Hawaii",8,1,"Hawaii"
"Puerto Rico CW",8,11,"Puerto Rico CW"
