"row","col","code","name"
1,13,"NH","New Hampshire"
1,14,"ME","Maine"
1,1,"AK","Alaska"
2,13,"MA","Massachusetts"
2,12,"VT","Vermont"
2,11,"NY","New York"
3,13,"RI","Rhode Island"
3,12,"CT","Connecticut"
3,11,"NJ","New Jersey"
3,10,"PA","Pennsylvania"
3,8,"MI","Michigan"
3,7,"WI","Wisconsin"
3,6,"MN","Minnesota"
3,5,"ND","North Dakota"
3,4,"MT","Montana"
3,3,"ID","Idaho"
3,2,"WA","Washington"
3,9,"OH","Ohio"
4,11,"DE","Delaware"
4,10,"MD","Maryland"
4,8,"IN","Indiana"
4,7,"IL","Illinois"
4,6,"IA","Iowa"
4,5,"SD","South Dakota"
4,4,"WY","Wyoming"
4,3,"UT","Utah"
4,2,"OR","Oregon"
4,9,"WV","West Virginia"
5,10,"DC","District of Columbia"
5,8,"KY","Kentucky"
5,7,"TN","Tennessee"
5,6,"MO","Missouri"
5,5,"NE","Nebraska"
5,4,"CO","Colorado"
5,3,"NV","Nevada"
5,2,"CA","California"
5,9,"VA","Virginia"
6,10,"NC","North Carolina"
6,8,"AL","Alabama"
6,7,"MS","Mississippi"
6,6,"AR","Arkansas"
6,5,"KS","Kansas"
6,4,"NM","New Mexico"
6,3,"AZ","Arizona"
6,9,"SC","South Carolina"
7,6,"LA","Louisiana"
7,5,"OK","Oklahoma"
7,9,"GA","Georgia"
8,1,"MP","Northern Mariana Islands"
8,10,"FL","Florida"
8,5,"TX","Texas"
9,1,"GU","Guam"
9,3,"HI","Hawaii"
9,13,"PR","Puerto Rico"
9,14,"VI","Virgin Islands"
