name,row,col,code
"Box Elder",1,1,"003"
Cache,1,2,"005"
Rich,1,3,"033"
Weber,2,2,"057"
Morgan,2,3,"029"
Daggett,3,5,"009"
Davis,3,2,"011"
Summit,3,3,"043"
Uintah,4,5,"047"
Duchesne,4,4,"013"
Wasatch,4,3,"051"
Tooele,4,1,"045"
Salt Lake,4,2,"035"
Utah,5,2,"049"
Juab,5,1,"023"
Carbon,5,4,"007"
Millard,6,1,"027"
Sanpete,6,2,"039"
Emery,6,4,"015"
Grand,6,5,"019"
Sevier,7,2,"041"
Wayne,8,4,"055"
Beaver,8,1,"001"
Piute,8,2,"031"
Garfield,9,3,"017"
Iron,9,1,"021"
San Juan,10,5,"037"
Washington,10,1,"053"
Kane,10,3,"025"
