"name","code","row","col"
"Douglas","Douglas",1,3
"Bayfield","Bayfield",1,4
"Washburn","Washburn",2,3
"Sawyer","Sawyer",2,4
"Ashland","Ashland",2,5
"Iron","Iron",2,6
"Oneida","Oneida",2,7
"Vilas","Vilas",2,8
"Polk","Polk",3,1
"Burnett","Burnett",3,2
"Barron","Barron",3,3
"Chippewa","Chippewa",3,4
"Rusk","Rusk",3,5
"Price","Price",3,6
"Lincoln","Lincoln",3,7
"Langlade","Langlade",3,8
"Forest","Forest",3,9
"Florence","Florence",3,10
"Marinette","Marinette",3,11
"St. Croix","St. Croix",4,2
"Dunn","Dunn",4,3
"Eau Claire","Eau Claire",4,4
"Clark","Clark",4,5
"Taylor","Taylor",4,6
"Marathon","Marathon",4,7
"Shawano","Shawano",4,8
"Menominee","Menominee",4,9
"Oconto","Oconto",4,10
"Calumet","Calumet",4,11
"Door","Door",4,13
"Pierce","Pierce",5,2
"Pepin","Pepin",5,3
"Trempealeau","Trempealeau",5,4
"Jackson","Jackson",5,5
"Wood","Wood",5,6
"Portage","Portage",5,7
"Waushara","Waushara",5,8
"Waupaca","Waupaca",5,9
"Outagamie","Outagamie",5,10
"Brown","Brown",5,11
"Kewaunee","Kewaunee",5,12
"Buffalo","Buffalo",6,3
"La Crosse","La Crosse",6,4
"Monroe","Monroe",6,5
"Juneau","Juneau",6,6
"Adams","Adams",6,7
"Green Lake","Green Lake",6,8
"Winnebago","Winnebago",6,9
"Washington","Washington",6,10
"Sheboygan","Sheboygan",6,11
"Manitowoc","Manitowoc",6,12
"Vernon","Vernon",7,5
"Richland","Richland",7,6
"Columbia","Columbia",7,7
"Marquette","Marquette",7,8
"Dodge","Dodge",7,9
"Fond du Lac","Fond du Lac",7,10
"Ozaukee","Ozaukee",7,11
"Crawford","Crawford",8,5
"Iowa","Iowa",8,6
"Sauk","Sauk",8,7
"Dane","Dane",8,8
"Jefferson","Jefferson",8,9
"Waukesha","Waukesha",8,10
"Milwaukee","Milwaukee",8,11
"Grant","Grant",9,5
"Lafayette","Lafayette",9,6
"Green","Green",9,7
"Rock","Rock",9,8
"Walworth","Walworth",9,9
"Kenosha","Kenosha",9,10
"Racine","Racine",9,11
