"name","code","row","col"
"Artigas","Artigas",1,2
"Rivera","Rivera",2,3
"Salto","Salto",2,2
"Cerro Largo","Cerro Largo",3,4
"Paysandu","Paysandú",3,2
"Tacuarembo","Tacuarembó",3,3
"Durazno","Durazno",4,3
"Rio Negro","Río Negro",4,2
"Treinta y Tres","Treinta y Tres",4,4
"Flores","Flores",5,2
"Florida","Florida",5,3
"Lavalleja","Lavalleja",5,4
"Rocha","Rocha",5,5
"Soriano","Soriano",5,1
"Canelones","Canelones",6,3
"Colonia","Colonia",6,1
"Maldonado","Maldonado",6,4
"San Jose","San José",6,2
"Montevideo","Montevideo",7,3
